;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.46423;0.46423;nan
0-1-0-0-0;0.46542;0.46542;nan
0-0-1-0-0;0.47300;0.47300;nan
0-0-0-1-0;0.47008;0.47008;nan
0-0-0-0-1;0.47164;0.47164;nan
1-2-0-0-0;0.46905;0.46905;0.46139
1-0-2-0-0;0.47572;0.47572;0.46352
1-0-0-2-0;0.47401;0.47401;0.46139
1-0-0-0-2;0.47347;0.47347;0.46197
0-1-2-0-0;0.47556;0.47556;0.46577
0-1-0-2-0;0.47309;0.47309;0.46260
0-1-0-0-2;0.47394;0.47394;0.46298
0-0-1-2-0;0.47789;0.47789;0.46664
0-0-1-0-2;0.47748;0.47748;0.46731
0-0-0-1-2;0.47589;0.47589;0.46637
1-2-3-0-0;0.47600;0.47002;0.45843
1-2-0-3-0;0.47539;0.46908;0.45686
1-2-0-0-3;0.47472;0.46893;0.45755
1-0-2-3-0;0.47860;0.47284;0.45877
1-0-2-0-3;0.47706;0.47188;0.45930
1-0-0-2-3;0.47666;0.47072;0.45859
0-1-2-3-0;0.47805;0.47207;0.45976
0-1-2-0-3;0.47679;0.47162;0.46053
0-1-0-2-3;0.47690;0.47055;0.45976
0-0-1-2-3;0.47929;0.47451;0.46277
1-2-3-4-0;0.47848;0.47410;0.46711
1-2-3-0-4;0.47754;0.47350;0.46724
1-2-0-3-4;0.47704;0.47272;0.46653
1-0-2-3-4;0.47960;0.47569;0.46960
0-1-2-3-4;0.47897;0.47477;0.46962
1-2-3-4-5;0.47562;0.47234;0.46610
