;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;3384;3384;0
0-1-0-0-0;3814;3814;0
0-0-1-0-0;4515;4515;0
0-0-0-1-0;3443;3443;0
0-0-0-0-1;3591;3591;0
1-2-0-0-0;4417;4417;3208
1-0-2-0-0;5117;5117;3129
1-0-0-2-0;4533;4533;2915
1-0-0-0-2;4446;4446;3001
0-1-2-0-0;5156;5156;3605
0-1-0-2-0;4641;4641;3465
0-1-0-0-2;4445;4445;3552
0-0-1-2-0;4974;4974;4057
0-0-1-0-2;4941;4941;4004
0-0-0-1-2;4317;4317;3176
1-2-3-0-0;4391;4320;4074
1-2-0-3-0;4380;4259;4045
1-2-0-0-3;4420;4276;4046
1-0-2-3-0;4868;4758;4523
1-0-2-0-3;4896;4780;4481
1-0-0-2-3;4366;4255;4038
0-1-2-3-0;4906;4777;4542
0-1-2-0-3;4851;4726;4486
0-1-0-2-3;4513;4377;4184
0-0-1-2-3;4862;4712;4491
1-2-3-4-0;5324;5237;5009
1-2-3-0-4;5241;5106;4884
1-2-0-3-4;4919;4766;4630
1-0-2-3-4;5405;5246;5042
0-1-2-3-4;5330;5170;5009
1-2-3-4-5;5033;4879;4744
