;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;4;4;5243
0-1-0-0-0;15;15;5638
0-0-1-0-0;7;7;5291
0-0-0-1-0;3;3;4813
0-0-0-0-1;6;6;4790
1-2-0-0-0;12;12;812
1-0-2-0-0;8;8;943
1-0-0-2-0;6;6;863
1-0-0-0-2;9;9;758
0-1-2-0-0;14;14;864
0-1-0-2-0;14;14;860
0-1-0-0-2;11;11;705
0-0-1-2-0;6;6;548
0-0-1-0-2;8;8;486
0-0-0-1-2;6;6;606
1-2-3-0-0;8;9;12
1-2-0-3-0;6;7;13
1-2-0-0-3;7;8;14
1-0-2-3-0;6;7;10
1-0-2-0-3;6;7;10
1-0-0-2-3;3;4;7
0-1-2-3-0;9;9;18
0-1-2-0-3;8;11;18
0-1-0-2-3;7;9;17
0-0-1-2-3;4;6;10
1-2-3-4-0;8;9;14
1-2-3-0-4;7;11;15
1-2-0-3-4;8;11;14
1-0-2-3-4;6;9;10
0-1-2-3-4;8;13;16
1-2-3-4-5;7;12;14
