;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;1723;1723;0
0-1-0-0-0;2186;2186;0
0-0-1-0-0;2464;2464;0
0-0-0-1-0;1930;1930;0
0-0-0-0-1;2042;2042;0
1-2-0-0-0;2280;2280;1817
1-0-2-0-0;2587;2587;1773
1-0-0-2-0;2246;2246;1735
1-0-0-0-2;2250;2250;1768
0-1-2-0-0;2682;2682;2199
0-1-0-2-0;2437;2437;2152
0-1-0-0-2;2346;2346;2211
0-0-1-2-0;2531;2531;2460
0-0-1-0-2;2533;2533;2419
0-0-0-1-2;2272;2272;1979
1-2-3-0-0;2175;2319;2447
1-2-0-3-0;2129;2277;2481
1-2-0-0-3;2172;2288;2466
1-0-2-3-0;2340;2500;2744
1-0-2-0-3;2374;2514;2729
1-0-0-2-3;2102;2249;2493
0-1-2-3-0;2443;2602;2819
0-1-2-0-3;2447;2590;2788
0-1-0-2-3;2277;2414;2676
0-0-1-2-3;2396;2583;2809
1-2-3-4-0;2530;2713;2914
1-2-3-0-4;2500;2662;2842
1-2-0-3-4;2352;2529;2711
1-0-2-3-4;2532;2735;2950
0-1-2-3-4;2579;2756;2992
1-2-3-4-5;2499;2657;2819
