;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;1820;1820;1820;1820;1820;564;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;564;1820;1820
0-1-0-0-0;2133;2133;2133;2133;2133;714;2133;2133;2133;2133;2133;2133;2133;2133;2133;2133;2133;2133;714;2133;2133
0-0-1-0-0;2376;2376;2376;2376;2376;786;2376;2376;2376;2376;2376;2376;2376;2376;2376;2376;2376;2376;786;2376;2376
0-0-0-1-0;2082;2082;2082;2082;2082;815;2082;2082;2082;2082;2082;2082;2082;2082;2082;2082;2082;2082;815;2082;2082
0-0-0-0-1;2186;2186;2186;2186;2186;780;2186;2186;2186;2186;2186;2186;2186;2186;2186;2186;2186;2186;780;2186;2186
1-2-0-0-0;1829;1829;1829;1829;1829;685;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;685;1829;1829
1-0-2-0-0;1998;2028;2028;1998;1998;739;2028;2028;1998;2028;2028;1998;1998;1998;1998;2028;1998;2028;739;1998;2028
1-0-0-2-0;1837;1896;1896;1837;1837;781;1896;1896;1837;1896;1896;1837;1837;1837;1837;1896;1837;1896;773;1837;1896
1-0-0-0-2;1911;1927;1927;1911;1911;760;1927;1927;1911;1927;1927;1911;1911;1911;1911;1927;1911;1927;765;1911;1927
0-1-2-0-0;2213;2224;2224;2213;2213;845;2224;2224;2213;2224;2224;2213;2213;2213;2213;2224;2213;2224;845;2213;2224
0-1-0-2-0;2104;2110;2110;2104;2104;792;2110;2110;2104;2110;2110;2104;2104;2104;2104;2110;2104;2110;796;2104;2110
0-1-0-0-2;2123;2126;2126;2123;2123;855;2126;2126;2123;2126;2126;2123;2123;2123;2123;2126;2123;2126;865;2123;2126
0-0-1-2-0;2181;2183;2183;2181;2181;842;2183;2183;2181;2183;2183;2181;2181;2181;2181;2183;2181;2183;843;2181;2183
0-0-1-0-2;2045;2031;2031;2045;2045;814;2031;2031;2045;2031;2031;2045;2045;2045;2045;2031;2045;2031;815;2045;2031
0-0-0-1-2;2077;2092;2092;2077;2077;826;2092;2092;2077;2092;2092;2077;2077;2077;2077;2092;2077;2092;832;2077;2092
1-2-3-0-0;2372;2001;2001;2372;1963;797;2408;2408;2372;2408;2408;2372;2372;1963;1963;2001;2372;2408;791;1963;2001
1-2-0-3-0;2279;1919;1919;2279;1848;788;2316;2316;2279;2316;2316;2279;2279;1848;1848;1919;2279;2316;755;1848;1919
1-2-0-0-3;2216;1830;1830;2216;1802;772;2247;2247;2216;2247;2247;2216;2216;1802;1802;1830;2216;2247;773;1802;1830
1-0-2-3-0;2406;1985;1985;2406;1926;808;2386;2386;2406;2386;2386;2406;2406;1926;1926;1985;2406;2386;796;1926;1985
1-0-2-0-3;2307;1883;1883;2307;1869;801;2314;2314;2307;2314;2314;2307;2307;1869;1869;1883;2307;2314;805;1869;1883
1-0-0-2-3;2323;1952;1952;2323;1886;810;2360;2360;2323;2360;2360;2323;2323;1886;1886;1952;2323;2360;810;1886;1952
0-1-2-3-0;2483;2103;2103;2483;2071;853;2475;2475;2483;2475;2475;2483;2483;2071;2071;2103;2483;2475;860;2071;2103
0-1-2-0-3;2384;2032;2032;2384;1990;862;2411;2411;2384;2411;2411;2384;2384;1990;1990;2032;2384;2411;867;1990;2032
0-1-0-2-3;2382;2038;2038;2382;2004;853;2405;2405;2382;2405;2405;2382;2382;2004;2004;2038;2382;2405;859;2004;2038
0-0-1-2-3;2362;1946;1946;2362;1962;834;2359;2359;2362;2359;2359;2362;2362;1962;1962;1946;2362;2359;832;1962;1946
1-2-3-4-0;2235;1936;1936;2235;1880;842;2300;2300;2235;2300;2300;2235;2235;1880;1880;1936;2235;2300;811;1880;1936
1-2-3-0-4;2180;1821;1821;2180;1782;784;2224;2224;2180;2224;2224;2180;2180;1782;1782;1821;2180;2224;796;1782;1821
1-2-0-3-4;2236;1888;1888;2236;1827;848;2256;2256;2236;2256;2256;2236;2236;1827;1827;1888;2236;2256;852;1827;1888
1-0-2-3-4;2262;1834;1834;2262;1796;814;2297;2297;2262;2297;2297;2262;2262;1796;1796;1834;2262;2297;809;1796;1834
0-1-2-3-4;2302;1948;1948;2302;1915;877;2347;2347;2302;2347;2347;2302;2302;1915;1915;1948;2302;2347;856;1915;1948
1-2-3-4-5;2341;1790;1943;2341;1727;798;2369;2121;2341;2369;2369;2341;2117;1896;1896;1943;2117;2121;794;1727;1790
