;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;1484;1484;1484;1484;1484;2220;1484;1484;1484;1484;1484;1484;1484;1484;1484;1484;1484;1484;2220;1484;1484
0-1-0-0-0;1501;1501;1501;1501;1501;2802;1501;1501;1501;1501;1501;1501;1501;1501;1501;1501;1501;1501;2802;1501;1501
0-0-1-0-0;1953;1953;1953;1953;1953;3248;1953;1953;1953;1953;1953;1953;1953;1953;1953;1953;1953;1953;3248;1953;1953
0-0-0-1-0;1573;1573;1573;1573;1573;2501;1573;1573;1573;1573;1573;1573;1573;1573;1573;1573;1573;1573;2501;1573;1573
0-0-0-0-1;1826;1826;1826;1826;1826;2796;1826;1826;1826;1826;1826;1826;1826;1826;1826;1826;1826;1826;2796;1826;1826
1-2-0-0-0;1788;1783;1783;1788;1788;2687;1783;1783;1788;1783;1783;1788;1788;1788;1788;1783;1788;1783;2692;1788;1783
1-0-2-0-0;2120;2120;2120;2120;2120;3300;2120;2120;2120;2120;2120;2120;2120;2120;2120;2120;2120;2120;3300;2120;2120
1-0-0-2-0;1780;1819;1819;1780;1780;2826;1819;1819;1780;1819;1819;1780;1780;1780;1780;1819;1780;1819;2773;1780;1819
1-0-0-0-2;2102;2119;2119;2102;2102;2984;2119;2119;2102;2119;2119;2102;2102;2102;2102;2119;2102;2119;2984;2102;2119
0-1-2-0-0;2071;2082;2082;2071;2071;3349;2082;2082;2071;2082;2082;2071;2071;2071;2071;2082;2071;2082;3349;2071;2082
0-1-0-2-0;1814;1820;1820;1814;1814;2869;1820;1820;1814;1820;1820;1814;1814;1814;1814;1820;1814;1820;2830;1814;1820
