;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;141;141;141;141;141;152;141;141;141;141;141;141;141;141;141;141;141;141;152;141;141
0-1-0-0-0;129;129;129;129;129;133;129;129;129;129;129;129;129;129;129;129;129;129;133;129;129
0-0-1-0-0;90;90;90;90;90;113;90;90;90;90;90;90;90;90;90;90;90;90;113;90;90
0-0-0-1-0;124;124;124;124;124;134;124;124;124;124;124;124;124;124;124;124;124;124;134;124;124
0-0-0-0-1;107;107;107;107;107;123;107;107;107;107;107;107;107;107;107;107;107;107;123;107;107
1-2-0-0-0;121;121;121;121;121;130;121;121;121;121;121;121;121;121;121;121;121;121;130;121;121
1-0-2-0-0;84;84;84;84;84;109;84;84;84;84;84;84;84;84;84;84;84;84;109;84;84
1-0-0-2-0;114;113;113;114;114;124;113;113;114;113;113;114;114;114;114;113;114;113;124;114;113
1-0-0-0-2;100;100;100;100;100;119;100;100;100;100;100;100;100;100;100;100;100;100;119;100;100
0-1-2-0-0;89;89;89;89;89;109;89;89;89;89;89;89;89;89;89;89;89;89;109;89;89
0-1-0-2-0;108;108;108;108;108;116;108;108;108;108;108;108;108;108;108;108;108;108;118;108;108
0-1-0-0-2;96;95;95;96;96;113;95;95;96;95;95;96;96;96;96;95;96;95;113;96;95
0-0-1-2-0;88;88;88;88;88;110;88;88;88;88;88;88;88;88;88;88;88;88;111;88;88
0-0-1-0-2;87;85;85;87;87;106;85;85;87;85;85;87;87;87;87;85;87;85;107;87;85
0-0-0-1-2;97;97;97;97;97;117;97;97;97;97;97;97;97;97;97;97;97;97;117;97;97
1-2-3-0-0;83;85;85;83;85;107;83;83;83;83;83;83;83;85;85;85;83;83;107;85;85
1-2-0-3-0;104;104;104;104;105;115;104;104;104;104;104;104;104;105;105;104;104;104;115;105;104
1-2-0-0-3;93;92;92;93;94;111;91;91;93;91;91;93;93;94;94;92;93;91;111;94;92
1-0-2-3-0;81;83;83;81;83;106;81;81;81;81;81;81;81;83;83;83;81;81;107;83;83
1-0-2-0-3;83;83;83;83;85;106;81;81;83;81;81;83;83;85;85;83;83;81;107;85;83
1-0-0-2-3;94;94;94;94;95;115;94;94;94;94;94;94;94;95;95;94;94;94;115;95;94
0-1-2-3-0;86;88;88;86;88;106;86;86;86;86;86;86;86;88;88;88;86;86;106;88;88
0-1-2-0-3;84;84;84;84;87;106;82;82;84;82;82;84;84;87;87;84;84;82;107;87;84
0-1-0-2-3;95;93;93;95;94;110;94;94;95;94;94;95;95;94;94;93;95;94;110;94;93
0-0-1-2-3;85;87;87;85;89;107;83;83;85;83;83;85;85;89;89;87;85;83;108;89;87
1-2-3-4-0;83;85;85;83;85;104;83;83;83;83;83;83;83;85;85;85;83;83;104;85;85
1-2-3-0-4;83;84;84;83;88;106;80;80;83;80;80;83;83;88;88;84;83;80;107;88;84
1-2-0-3-4;92;90;90;92;92;109;91;91;92;91;91;92;92;92;92;90;92;91;109;92;90
1-0-2-3-4;84;85;85;84;89;105;81;81;84;81;81;84;84;89;89;85;84;81;106;89;85
0-1-2-3-4;85;86;86;85;89;104;83;83;85;83;83;85;85;89;89;86;85;83;105;89;86
1-2-3-4-5;100;103;102;100;105;113;100;100;100;100;100;100;101;102;102;102;101;100;113;105;103
