;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1945882;1945882;1945882;1945882;1945882;1945882;1945882;1945882
0-1-0-0-0;1952140;1952140;1952140;1952140;1952140;1952140;1952140;1952140
0-0-1-0-0;1856808;1856808;1856808;1856808;1856808;1856808;1856808;1856808
0-0-0-1-0;1917750;1917750;1917750;1917750;1917750;1917750;1917750;1917750
0-0-0-0-1;1834627;1834627;1834627;1834627;1834627;1834627;1834627;1834627
1-2-0-0-0;1727339;1727339;1727339;1727339;1727339;1727339;1727339;1727339
1-0-2-0-0;1647398;1647398;1647398;1647398;1647398;1647398;1647398;1647398
1-0-0-2-0;1679274;1679274;1679274;1679274;1679274;1679274;1679274;1679274
1-0-0-0-2;1636775;1636775;1636775;1636775;1636775;1636775;1636775;1636775
0-1-2-0-0;1665621;1665621;1665621;1665621;1665621;1665621;1665621;1665621
0-1-0-2-0;1697759;1697759;1697759;1697759;1697759;1697759;1697759;1697759
0-1-0-0-2;1648807;1648807;1648807;1648807;1648807;1648807;1648807;1648807
0-0-1-2-0;1649927;1649927;1649927;1649927;1649927;1649927;1649927;1649927
0-0-1-0-2;1622942;1622942;1622942;1622942;1622942;1622942;1622942;1622942
0-0-0-1-2;1605786;1605786;1605786;1605786;1605786;1605786;1605786;1605786
1-2-3-0-0;1569832;1921133;1558652;1909928;1921133;1921133;1909928;1909928
1-2-0-3-0;1589430;1974771;1544034;1929645;1974771;1974771;1929645;1929645
1-2-0-0-3;1603080;1931673;1566481;1895374;1931673;1931673;1895374;1895374
1-0-2-3-0;1541582;1932335;1501105;1886099;1932335;1932335;1886099;1886099
1-0-2-0-3;1537239;1883918;1499557;1846599;1883918;1883918;1846599;1846599
1-0-0-2-3;1529524;1928811;1505804;1905516;1928811;1928811;1905516;1905516
0-1-2-3-0;1552830;1934807;1527221;1908763;1934807;1934807;1908763;1908763
0-1-2-0-3;1549438;1890326;1524531;1865778;1890326;1890326;1865778;1865778
0-1-0-2-3;1536167;1930202;1514362;1907587;1930202;1930202;1907587;1907587
0-0-1-2-3;1516907;1883622;1500057;1865750;1883622;1883622;1865750;1865750
1-2-3-4-0;1495381;1815790;1462970;1777485;1815790;1815790;1777485;1777485
1-2-3-0-4;1521717;1786370;1491296;1756349;1786370;1786370;1756349;1756349
1-2-0-3-4;1489141;1807084;1467966;1786911;1807084;1807084;1786911;1786911
1-0-2-3-4;1450536;1768332;1433957;1752713;1768332;1768332;1752713;1752713
0-1-2-3-4;1458119;1771998;1444634;1758997;1771998;1771998;1758997;1758997
1-2-3-4-5;1673232;1917248;1644320;1888545;1789974;1917248;1761218;1888545
