;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;204;204;204;204;204;204;204;204
0-1-0-0-0;239;239;239;239;239;239;239;239
0-0-1-0-0;169;169;169;169;169;169;169;169
0-0-0-1-0;256;256;256;256;256;256;256;256
0-0-0-0-1;206;206;206;206;206;206;206;206
1-2-0-0-0;287;287;287;287;287;287;287;287
1-0-2-0-0;248;248;248;248;248;248;248;248
1-0-0-2-0;331;331;331;331;331;331;331;331
1-0-0-0-2;284;284;284;284;284;284;284;284
0-1-2-0-0;271;271;271;271;271;271;271;271
0-1-0-2-0;351;351;351;351;351;351;351;351
0-1-0-0-2;304;304;304;304;304;304;304;304
0-0-1-2-0;302;302;302;302;302;302;302;302
0-0-1-0-2;260;260;260;260;260;260;260;260
0-0-0-1-2;314;314;314;314;314;314;314;314
1-2-3-0-0;311;313;238;240;313;313;240;240
1-2-0-3-0;388;389;246;247;389;389;247;247
1-2-0-0-3;341;342;250;251;342;342;251;251
1-0-2-3-0;355;358;224;227;358;358;227;227
1-0-2-0-3;313;315;223;226;315;315;226;226
1-0-0-2-3;374;373;267;266;373;373;266;266
0-1-2-3-0;370;372;243;245;372;372;245;245
0-1-2-0-3;325;327;241;243;327;327;243;243
0-1-0-2-3;388;389;285;287;389;389;287;287
0-0-1-2-3;349;350;244;247;350;350;247;247
1-2-3-4-0;403;404;275;276;404;404;276;276
1-2-3-0-4;358;359;278;279;359;359;279;279
1-2-0-3-4;422;423;321;322;423;423;322;322
1-0-2-3-4;393;393;293;293;393;393;293;293
0-1-2-3-4;405;406;308;309;406;406;309;309
1-2-3-4-5;334;336;252;254;335;336;253;254
