;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.56292;0.56292;0.56292;0.56292;0.56292;0.56292;0.56292;0.56292
0-1-0-0-0;0.57502;0.57502;0.57502;0.57502;0.57502;0.57502;0.57502;0.57502
0-0-1-0-0;0.54276;0.54276;0.54276;0.54276;0.54276;0.54276;0.54276;0.54276
0-0-0-1-0;0.57175;0.57175;0.57175;0.57175;0.57175;0.57175;0.57175;0.57175
0-0-0-0-1;0.55556;0.55556;0.55556;0.55556;0.55556;0.55556;0.55556;0.55556
1-2-0-0-0;0.57963;0.57963;0.57963;0.57963;0.57963;0.57963;0.57963;0.57963
1-0-2-0-0;0.57123;0.57123;0.57123;0.57123;0.57123;0.57123;0.57123;0.57123
1-0-0-2-0;0.57975;0.57975;0.57975;0.57975;0.57975;0.57975;0.57975;0.57975
1-0-0-0-2;0.57220;0.57220;0.57220;0.57220;0.57220;0.57220;0.57220;0.57220
0-1-2-0-0;0.58000;0.58000;0.58000;0.58000;0.58000;0.58000;0.58000;0.58000
0-1-0-2-0;0.58513;0.58513;0.58513;0.58513;0.58513;0.58513;0.58513;0.58513
0-1-0-0-2;0.57896;0.57896;0.57896;0.57896;0.57896;0.57896;0.57896;0.57896
0-0-1-2-0;0.57551;0.57551;0.57551;0.57551;0.57551;0.57551;0.57551;0.57551
0-0-1-0-2;0.56425;0.56425;0.56425;0.56425;0.56425;0.56425;0.56425;0.56425
0-0-0-1-2;0.57575;0.57575;0.57575;0.57575;0.57575;0.57575;0.57575;0.57575
1-2-3-0-0;0.58148;0.58042;0.57926;0.57818;0.58042;0.58042;0.57818;0.57818
1-2-0-3-0;0.58435;0.58297;0.58231;0.58087;0.58297;0.58297;0.58087;0.58087
1-2-0-0-3;0.58045;0.57940;0.58005;0.57933;0.57940;0.57940;0.57933;0.57933
1-0-2-3-0;0.58054;0.57881;0.57268;0.57087;0.57881;0.57881;0.57087;0.57087
1-0-2-0-3;0.57328;0.57187;0.57041;0.56860;0.57187;0.57187;0.56860;0.56860
1-0-0-2-3;0.57809;0.57740;0.58220;0.58148;0.57740;0.57740;0.58148;0.58148
0-1-2-3-0;0.58483;0.58379;0.58070;0.57962;0.58379;0.58379;0.57962;0.57962
0-1-2-0-3;0.58068;0.57963;0.57836;0.57727;0.57963;0.57963;0.57727;0.57727
0-1-0-2-3;0.58264;0.58127;0.58881;0.58702;0.58127;0.58127;0.58702;0.58702
0-0-1-2-3;0.57552;0.57482;0.57842;0.57698;0.57482;0.57482;0.57698;0.57698
1-2-3-4-0;0.58398;0.58330;0.58493;0.58422;0.58330;0.58330;0.58422;0.58422
1-2-3-0-4;0.58043;0.58008;0.58277;0.58241;0.58008;0.58008;0.58241;0.58241
1-2-0-3-4;0.58056;0.57955;0.58896;0.58789;0.57955;0.57955;0.58789;0.58789
1-0-2-3-4;0.57756;0.57756;0.58504;0.58504;0.57756;0.57756;0.58504;0.58504
0-1-2-3-4;0.58153;0.58085;0.59024;0.58953;0.58085;0.58085;0.58953;0.58953
1-2-3-4-5;0.59105;0.58964;0.58352;0.58208;0.59035;0.58964;0.58280;0.58208
