;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1815958;1815958;1815958;1815958;1815958;1815958;1815958;1815958
0-1-0-0-0;1838403;1838403;1838403;1838403;1838403;1838403;1838403;1838403
0-0-1-0-0;1843332;1843332;1843332;1843332;1843332;1843332;1843332;1843332
0-0-0-1-0;1859917;1859917;1859917;1859917;1859917;1859917;1859917;1859917
0-0-0-0-1;1868352;1868352;1868352;1868352;1868352;1868352;1868352;1868352
1-2-0-0-0;2059449;2059449;2059449;2059449;2059449;2059449;2059449;2059449
1-0-2-0-0;2116909;2116909;2116909;2116909;2116909;2116909;2116909;2116909
1-0-0-2-0;2168811;2168811;2168811;2168811;2168811;2168811;2168811;2168811
1-0-0-0-2;2147032;2147032;2147032;2147032;2147032;2147032;2147032;2147032
0-1-2-0-0;2135714;2135714;2135714;2135714;2135714;2135714;2135714;2135714
0-1-0-2-0;2138172;2138172;2138172;2138172;2138172;2138172;2138172;2138172
0-1-0-0-2;2135208;2135208;2135208;2135208;2135208;2135208;2135208;2135208
0-0-1-2-0;2175798;2175798;2175798;2175798;2175798;2175798;2175798;2175798
0-0-1-0-2;2149323;2149323;2149323;2149323;2149323;2149323;2149323;2149323
0-0-0-1-2;2232640;2232640;2232640;2232640;2232640;2232640;2232640;2232640
1-2-3-0-0;2248839;1822746;2274043;1845296;1822746;1822746;1845296;1845296
1-2-0-3-0;2301870;1832999;2281376;1809123;1832999;1832999;1809123;1809123
1-2-0-0-3;2293549;1812463;2283863;1802807;1812463;1812463;1802807;1802807
1-0-2-3-0;2321977;1858600;2295283;1823420;1858600;1858600;1823420;1823420
1-0-2-0-3;2310124;1828972;2289862;1808579;1828972;1828972;1808579;1808579
1-0-0-2-3;2390569;1846338;2373873;1825541;1846338;1846338;1825541;1825541
0-1-2-3-0;2296632;1840842;2318531;1861363;1840842;1840842;1861363;1861363
0-1-2-0-3;2308342;1837711;2321582;1851120;1837711;1837711;1851120;1851120
0-1-0-2-3;2381997;1858333;2360084;1835105;1858333;1858333;1835105;1835105
0-0-1-2-3;2369754;1867188;2349573;1880318;1867188;1867188;1880318;1880318
1-2-3-4-0;2408130;1995978;2397117;1975616;1995978;1995978;1975616;1975616
1-2-3-0-4;2403766;1990140;2394426;1980920;1990140;1990140;1980920;1980920
1-2-0-3-4;2474759;2020536;2463211;2005049;2020536;2020536;2005049;2005049
1-0-2-3-4;2473896;2001949;2466962;1990308;2001949;2001949;1990308;1990308
0-1-2-3-4;2476363;2006334;2461990;1991469;2006334;2006334;1991469;1991469
1-2-3-4-5;2115423;1844475;2081446;1809763;1977669;1844475;1943138;1809763
