;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.06052;0.06052;0.06052;0.06052;0.06052;0.06052;0.06052;0.06052
0-1-0-0-0;0.07017;0.07017;0.07017;0.07017;0.07017;0.07017;0.07017;0.07017
0-0-1-0-0;0.05066;0.05066;0.05066;0.05066;0.05066;0.05066;0.05066;0.05066
0-0-0-1-0;0.07479;0.07479;0.07479;0.07479;0.07479;0.07479;0.07479;0.07479
0-0-0-0-1;0.06107;0.06107;0.06107;0.06107;0.06107;0.06107;0.06107;0.06107
1-2-0-0-0;0.08309;0.08309;0.08309;0.08309;0.08309;0.08309;0.08309;0.08309
1-0-2-0-0;0.07262;0.07262;0.07262;0.07262;0.07262;0.07262;0.07262;0.07262
1-0-0-2-0;0.09463;0.09463;0.09463;0.09463;0.09463;0.09463;0.09463;0.09463
1-0-0-0-2;0.08229;0.08229;0.08229;0.08229;0.08229;0.08229;0.08229;0.08229
0-1-2-0-0;0.07882;0.07882;0.07882;0.07882;0.07882;0.07882;0.07882;0.07882
0-1-0-2-0;0.09977;0.09977;0.09977;0.09977;0.09977;0.09977;0.09977;0.09977
0-1-0-0-2;0.08758;0.08758;0.08758;0.08758;0.08758;0.08758;0.08758;0.08758
0-0-1-2-0;0.08706;0.08706;0.08706;0.08706;0.08706;0.08706;0.08706;0.08706
0-0-1-0-2;0.07587;0.07587;0.07587;0.07587;0.07587;0.07587;0.07587;0.07587
0-0-0-1-2;0.09020;0.09020;0.09020;0.09020;0.09020;0.09020;0.09020;0.09020
1-2-3-0-0;0.08942;0.08994;0.06990;0.07044;0.08994;0.08994;0.07044;0.07044
1-2-0-3-0;0.10914;0.10939;0.07208;0.07235;0.10939;0.10939;0.07235;0.07235
1-2-0-0-3;0.09721;0.09746;0.07316;0.07343;0.09746;0.09746;0.07343;0.07343
1-0-2-3-0;0.10080;0.10156;0.06606;0.06688;0.10156;0.10156;0.06688;0.06688
1-0-2-0-3;0.08994;0.09047;0.06578;0.06661;0.09047;0.09047;0.06661;0.06661
1-0-0-2-3;0.10562;0.10537;0.07775;0.07748;0.10537;0.10537;0.07748;0.07748
0-1-2-3-0;0.10461;0.10511;0.07126;0.07181;0.10511;0.10511;0.07181;0.07181
0-1-2-0-3;0.09307;0.09359;0.07072;0.07126;0.09359;0.09359;0.07126;0.07126
0-1-0-2-3;0.10914;0.10939;0.08256;0.08309;0.10939;0.10939;0.08309;0.08309
0-0-1-2-3;0.09926;0.09952;0.07153;0.07235;0.09952;0.09952;0.07235;0.07235
1-2-3-4-0;0.11289;0.11313;0.07990;0.08016;0.11313;0.11313;0.08016;0.08016
1-2-3-0-4;0.10156;0.10182;0.08070;0.08096;0.10182;0.10182;0.08096;0.08096
1-2-0-3-4;0.11758;0.11783;0.09203;0.09229;0.11783;0.11783;0.09229;0.09229
1-0-2-3-4;0.11039;0.11039;0.08468;0.08468;0.11039;0.11039;0.08468;0.08468
0-1-2-3-4;0.11338;0.11363;0.08863;0.08890;0.11363;0.11363;0.08890;0.08890
1-2-3-4-5;0.09540;0.09592;0.07371;0.07425;0.09566;0.09592;0.07398;0.07425
