;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.07698;0.07698;0.07698;0.07698;0.07698;0.07698;0.07698;0.07698
0-1-0-0-0;0.08575;0.08575;0.08575;0.08575;0.08575;0.08575;0.08575;0.08575
0-0-1-0-0;0.06049;0.06049;0.06049;0.06049;0.06049;0.06049;0.06049;0.06049
0-0-0-1-0;0.09394;0.09394;0.09394;0.09394;0.09394;0.09394;0.09394;0.09394
0-0-0-0-1;0.06870;0.06870;0.06870;0.06870;0.06870;0.06870;0.06870;0.06870
1-2-0-0-0;0.10361;0.10361;0.10361;0.10361;0.10361;0.10361;0.10361;0.10361
1-0-2-0-0;0.09039;0.09039;0.09039;0.09039;0.09039;0.09039;0.09039;0.09039
1-0-0-2-0;0.11863;0.11863;0.11863;0.11863;0.11863;0.11863;0.11863;0.11863
1-0-0-0-2;0.09973;0.09973;0.09973;0.09973;0.09973;0.09973;0.09973;0.09973
0-1-2-0-0;0.09560;0.09560;0.09560;0.09560;0.09560;0.09560;0.09560;0.09560
0-1-0-2-0;0.12119;0.12119;0.12119;0.12119;0.12119;0.12119;0.12119;0.12119
0-1-0-0-2;0.10361;0.10361;0.10361;0.10361;0.10361;0.10361;0.10361;0.10361
0-0-1-2-0;0.10726;0.10726;0.10726;0.10726;0.10726;0.10726;0.10726;0.10726
0-0-1-0-2;0.08765;0.08765;0.08765;0.08765;0.08765;0.08765;0.08765;0.08765
0-0-0-1-2;0.11109;0.11109;0.11109;0.11109;0.11109;0.11109;0.11109;0.11109
1-2-3-0-0;0.11048;0.11109;0.08702;0.08765;0.11109;0.11109;0.08765;0.08765
1-2-0-3-0;0.13392;0.13468;0.08870;0.08955;0.13468;0.13468;0.08955;0.08955
1-2-0-0-3;0.11824;0.11883;0.08976;0.09018;0.11883;0.11883;0.09018;0.09018
1-0-2-3-0;0.12450;0.12547;0.08063;0.08170;0.12547;0.12547;0.08170;0.08170
1-0-2-0-3;0.10868;0.10948;0.08021;0.08128;0.10948;0.10948;0.08128;0.08128
1-0-0-2-3;0.12991;0.13029;0.09498;0.09539;0.13029;0.13029;0.09539;0.09539
0-1-2-3-0;0.12663;0.12721;0.08617;0.08681;0.12721;0.12721;0.08681;0.08681
0-1-2-0-3;0.11069;0.11129;0.08554;0.08617;0.11129;0.11129;0.08617;0.08617
0-1-0-2-3;0.13125;0.13201;0.09808;0.09911;0.13201;0.13201;0.09911;0.09911
0-0-1-2-3;0.12040;0.12079;0.08617;0.08702;0.12079;0.12079;0.08702;0.08702
1-2-3-4-0;0.13770;0.13808;0.09849;0.09890;0.13808;0.13808;0.09890;0.09890
1-2-3-0-4;0.12333;0.12353;0.09870;0.09890;0.12353;0.12353;0.09890;0.09890
1-2-0-3-4;0.14314;0.14369;0.11028;0.11089;0.14369;0.14369;0.11089;0.11089
1-0-2-3-4;0.13468;0.13468;0.10218;0.10218;0.13468;0.13468;0.10218;0.10218
0-1-2-3-4;0.13619;0.13657;0.10524;0.10564;0.13657;0.13657;0.10564;0.10564
1-2-3-4-5;0.11488;0.11567;0.09039;0.09122;0.11527;0.11567;0.09080;0.09122
