;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.281;0.281;0.281;0.281;0.281;0.281;0.281;0.281
0-1-0-0-0;0.306;0.306;0.306;0.306;0.306;0.306;0.306;0.306
0-0-1-0-0;0.291;0.291;0.291;0.291;0.291;0.291;0.291;0.291
0-0-0-1-0;0.302;0.302;0.302;0.302;0.302;0.302;0.302;0.302
0-0-0-0-1;0.295;0.295;0.295;0.295;0.295;0.295;0.295;0.295
1-2-0-0-0;0.310;0.310;0.310;0.310;0.310;0.310;0.310;0.310
1-0-2-0-0;0.305;0.305;0.305;0.305;0.305;0.305;0.305;0.305
1-0-0-2-0;0.311;0.311;0.311;0.311;0.311;0.311;0.311;0.311
1-0-0-0-2;0.308;0.308;0.308;0.308;0.308;0.308;0.308;0.308
0-1-2-0-0;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314
0-1-0-2-0;0.320;0.320;0.320;0.320;0.320;0.320;0.320;0.320
0-1-0-0-2;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315
0-0-1-2-0;0.313;0.313;0.313;0.313;0.313;0.313;0.313;0.313
0-0-1-0-2;0.308;0.308;0.308;0.308;0.308;0.308;0.308;0.308
0-0-0-1-2;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315
1-2-3-0-0;0.319;0.319;0.312;0.312;0.319;0.319;0.312;0.312
1-2-0-3-0;0.321;0.321;0.312;0.312;0.321;0.321;0.312;0.312
1-2-0-0-3;0.318;0.318;0.313;0.313;0.318;0.318;0.313;0.313
1-0-2-3-0;0.317;0.317;0.307;0.307;0.317;0.317;0.307;0.307
1-0-2-0-3;0.314;0.314;0.309;0.309;0.314;0.314;0.309;0.309
1-0-0-2-3;0.318;0.318;0.314;0.314;0.318;0.318;0.314;0.314
0-1-2-3-0;0.323;0.323;0.315;0.315;0.323;0.323;0.315;0.315
0-1-2-0-3;0.320;0.320;0.315;0.315;0.320;0.320;0.315;0.315
0-1-0-2-3;0.324;0.324;0.321;0.321;0.324;0.324;0.321;0.321
0-0-1-2-3;0.319;0.319;0.314;0.314;0.319;0.319;0.314;0.314
1-2-3-4-0;0.324;0.324;0.317;0.317;0.324;0.324;0.317;0.317
1-2-3-0-4;0.322;0.322;0.318;0.318;0.322;0.322;0.318;0.318
1-2-0-3-4;0.326;0.326;0.322;0.322;0.326;0.326;0.322;0.322
1-0-2-3-4;0.322;0.322;0.319;0.319;0.322;0.322;0.319;0.319
0-1-2-3-4;0.326;0.326;0.323;0.323;0.326;0.326;0.323;0.323
1-2-3-4-5;0.325;0.325;0.317;0.317;0.325;0.325;0.317;0.317
