;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;2438;2438;2438;2438;2438;2438;2438;2438
0-1-0-0-0;2514;2514;2514;2514;2514;2514;2514;2514
0-0-1-0-0;2310;2310;2310;2310;2310;2310;2310;2310
0-0-0-1-0;2522;2522;2522;2522;2522;2522;2522;2522
0-0-0-0-1;2385;2385;2385;2385;2385;2385;2385;2385
1-2-0-0-0;2584;2584;2584;2584;2584;2584;2584;2584
1-0-2-0-0;2510;2510;2510;2510;2510;2510;2510;2510
1-0-0-2-0;2628;2628;2628;2628;2628;2628;2628;2628
1-0-0-0-2;2540;2540;2540;2540;2540;2540;2540;2540
0-1-2-0-0;2563;2563;2563;2563;2563;2563;2563;2563
0-1-0-2-0;2660;2660;2660;2660;2660;2660;2660;2660
0-1-0-0-2;2581;2581;2581;2581;2581;2581;2581;2581
0-0-1-2-0;2576;2576;2576;2576;2576;2576;2576;2576
0-0-1-0-2;2472;2472;2472;2472;2472;2472;2472;2472
0-0-0-1-2;2588;2588;2588;2588;2588;2588;2588;2588
1-2-3-0-0;2612;2609;2536;2533;2609;2609;2533;2533
1-2-0-3-0;2695;2691;2554;2550;2691;2691;2550;2550
1-2-0-0-3;2630;2627;2547;2545;2627;2627;2545;2545
1-0-2-3-0;2649;2644;2490;2485;2644;2644;2485;2485
1-0-2-0-3;2570;2566;2479;2474;2566;2566;2474;2474
1-0-0-2-3;2654;2652;2571;2569;2652;2652;2569;2569
0-1-2-3-0;2675;2672;2540;2537;2672;2672;2537;2537
0-1-2-0-3;2609;2606;2528;2525;2606;2606;2525;2525
0-1-0-2-3;2679;2675;2609;2604;2675;2675;2604;2604
0-0-1-2-3;2614;2612;2530;2526;2612;2612;2526;2526
1-2-3-4-0;2705;2703;2593;2591;2703;2703;2591;2591
1-2-3-0-4;2645;2644;2584;2583;2644;2644;2583;2583
1-2-0-3-4;2706;2703;2645;2642;2703;2703;2642;2642
1-0-2-3-4;2666;2666;2604;2604;2666;2666;2604;2604
0-1-2-3-4;2689;2687;2636;2634;2687;2687;2634;2634
1-2-3-4-5;2668;2664;2564;2560;2666;2664;2562;2560
