;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.56164;0.56164;0.56164;0.56164;0.56164;0.56164;0.56164;0.56164
0-1-0-0-0;0.57572;0.57572;0.57572;0.57572;0.57572;0.57572;0.57572;0.57572
0-0-1-0-0;0.53297;0.53297;0.53297;0.53297;0.53297;0.53297;0.53297;0.53297
0-0-0-1-0;0.57667;0.57667;0.57667;0.57667;0.57667;0.57667;0.57667;0.57667
0-0-0-0-1;0.55409;0.55409;0.55409;0.55409;0.55409;0.55409;0.55409;0.55409
1-2-0-0-0;0.58287;0.58287;0.58287;0.58287;0.58287;0.58287;0.58287;0.58287
1-0-2-0-0;0.57003;0.57003;0.57003;0.57003;0.57003;0.57003;0.57003;0.57003
1-0-0-2-0;0.58732;0.58732;0.58732;0.58732;0.58732;0.58732;0.58732;0.58732
1-0-0-0-2;0.57399;0.57399;0.57399;0.57399;0.57399;0.57399;0.57399;0.57399
0-1-2-0-0;0.58061;0.58061;0.58061;0.58061;0.58061;0.58061;0.58061;0.58061
0-1-0-2-0;0.59286;0.59286;0.59286;0.59286;0.59286;0.59286;0.59286;0.59286
0-1-0-0-2;0.58231;0.58231;0.58231;0.58231;0.58231;0.58231;0.58231;0.58231
0-0-1-2-0;0.57944;0.57944;0.57944;0.57944;0.57944;0.57944;0.57944;0.57944
0-0-1-0-2;0.56150;0.56150;0.56150;0.56150;0.56150;0.56150;0.56150;0.56150
0-0-0-1-2;0.58353;0.58353;0.58353;0.58353;0.58353;0.58353;0.58353;0.58353
1-2-3-0-0;0.58520;0.58428;0.57917;0.57823;0.58428;0.58428;0.57823;0.57823
1-2-0-3-0;0.59316;0.59271;0.58373;0.58326;0.59271;0.59271;0.58326;0.58326
1-2-0-0-3;0.58562;0.58516;0.58215;0.58168;0.58516;0.58516;0.58168;0.58168
1-0-2-3-0;0.58758;0.58621;0.56993;0.56853;0.58621;0.58621;0.56853;0.56853
1-0-2-0-3;0.57496;0.57405;0.56831;0.56691;0.57405;0.57405;0.56691;0.56691
1-0-0-2-3;0.58581;0.58627;0.58631;0.58678;0.58627;0.58627;0.58678;0.58678
0-1-2-3-0;0.59164;0.59073;0.58009;0.57915;0.59073;0.59073;0.57915;0.57915
0-1-2-0-3;0.58399;0.58307;0.57895;0.57801;0.58307;0.58307;0.57801;0.57801
0-1-0-2-3;0.59174;0.59128;0.59260;0.59167;0.59128;0.59128;0.59167;0.59167
0-0-1-2-3;0.58168;0.58122;0.57992;0.57851;0.58122;0.58122;0.57851;0.57851
1-2-3-4-0;0.59262;0.59217;0.58699;0.58652;0.59217;0.59217;0.58652;0.58652
1-2-3-0-4;0.58592;0.58546;0.58500;0.58453;0.58546;0.58546;0.58453;0.58453
1-2-0-3-4;0.59029;0.58984;0.59367;0.59321;0.58984;0.58984;0.59321;0.59321
1-0-2-3-4;0.58521;0.58521;0.58799;0.58799;0.58521;0.58521;0.58799;0.58799
0-1-2-3-4;0.58974;0.58929;0.59329;0.59283;0.58929;0.58929;0.59283;0.59283
1-2-3-4-5;0.59606;0.59514;0.58477;0.58383;0.59560;0.59514;0.58430;0.58383
