;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.07163;0.07163;0.07163;0.07163;0.07163;0.07163;0.07163;0.07163
0-1-0-0-0;0.07184;0.07184;0.07184;0.07184;0.07184;0.07184;0.07184;0.07184
0-0-1-0-0;0.06946;0.06946;0.06946;0.06946;0.06946;0.06946;0.06946;0.06946
0-0-0-1-0;0.07077;0.07077;0.07077;0.07077;0.07077;0.07077;0.07077;0.07077
0-0-0-0-1;0.06784;0.06784;0.06784;0.06784;0.06784;0.06784;0.06784;0.06784
1-2-0-0-0;0.06248;0.06248;0.06248;0.06248;0.06248;0.06248;0.06248;0.06248
1-0-2-0-0;0.05975;0.05975;0.05975;0.05975;0.05975;0.05975;0.05975;0.05975
1-0-0-2-0;0.06038;0.06038;0.06038;0.06038;0.06038;0.06038;0.06038;0.06038
1-0-0-0-2;0.05936;0.05936;0.05936;0.05936;0.05936;0.05936;0.05936;0.05936
0-1-2-0-0;0.06051;0.06051;0.06051;0.06051;0.06051;0.06051;0.06051;0.06051
0-1-0-2-0;0.06101;0.06101;0.06101;0.06101;0.06101;0.06101;0.06101;0.06101
0-1-0-0-2;0.05980;0.05980;0.05980;0.05980;0.05980;0.05980;0.05980;0.05980
0-0-1-2-0;0.05972;0.05972;0.05972;0.05972;0.05972;0.05972;0.05972;0.05972
0-0-1-0-2;0.05900;0.05900;0.05900;0.05900;0.05900;0.05900;0.05900;0.05900
0-0-0-1-2;0.05803;0.05803;0.05803;0.05803;0.05803;0.05803;0.05803;0.05803
1-2-3-0-0;0.05643;0.06968;0.05662;0.07002;0.06968;0.06968;0.07002;0.07002
1-2-0-3-0;0.05671;0.07116;0.05591;0.07059;0.07116;0.07116;0.07059;0.07059
1-2-0-0-3;0.05747;0.06990;0.05669;0.06924;0.06990;0.06990;0.06924;0.06924
1-0-2-3-0;0.05519;0.06991;0.05443;0.06913;0.06991;0.06991;0.06913;0.06913
1-0-2-0-3;0.05530;0.06838;0.05456;0.06783;0.06838;0.06838;0.06783;0.06783
1-0-0-2-3;0.05476;0.06964;0.05433;0.06935;0.06964;0.06964;0.06935;0.06935
0-1-2-3-0;0.05560;0.06995;0.05546;0.07001;0.06995;0.06995;0.07001;0.07001
0-1-2-0-3;0.05567;0.06844;0.05553;0.06849;0.06844;0.06844;0.06849;0.06849
0-1-0-2-3;0.05496;0.06967;0.05457;0.06937;0.06967;0.06967;0.06937;0.06937
0-0-1-2-3;0.05448;0.06822;0.05423;0.06816;0.06822;0.06822;0.06816;0.06816
1-2-3-4-0;0.05324;0.06513;0.05261;0.06443;0.06513;0.06513;0.06443;0.06443
1-2-3-0-4;0.05425;0.06440;0.05364;0.06389;0.06440;0.06440;0.06389;0.06389
1-2-0-3-4;0.05305;0.06491;0.05264;0.06462;0.06491;0.06491;0.06462;0.06462
1-0-2-3-4;0.05182;0.06359;0.05146;0.06333;0.06359;0.06359;0.06333;0.06333
0-1-2-3-4;0.05209;0.06372;0.05181;0.06350;0.06372;0.06372;0.06350;0.06350
1-2-3-4-5;0.06001;0.06921;0.05965;0.06896;0.06438;0.06921;0.06408;0.06896
