;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.55414;0.55414;0.55414;0.55414;0.55414;0.55414;0.55414;0.55414
0-1-0-0-0;0.56812;0.56812;0.56812;0.56812;0.56812;0.56812;0.56812;0.56812
0-0-1-0-0;0.52578;0.52578;0.52578;0.52578;0.52578;0.52578;0.52578;0.52578
0-0-0-1-0;0.56909;0.56909;0.56909;0.56909;0.56909;0.56909;0.56909;0.56909
0-0-0-0-1;0.54669;0.54669;0.54669;0.54669;0.54669;0.54669;0.54669;0.54669
1-2-0-0-0;0.57528;0.57528;0.57528;0.57528;0.57528;0.57528;0.57528;0.57528
1-0-2-0-0;0.56252;0.56252;0.56252;0.56252;0.56252;0.56252;0.56252;0.56252
1-0-0-2-0;0.57976;0.57976;0.57976;0.57976;0.57976;0.57976;0.57976;0.57976
1-0-0-0-2;0.56650;0.56650;0.56650;0.56650;0.56650;0.56650;0.56650;0.56650
0-1-2-0-0;0.57301;0.57301;0.57301;0.57301;0.57301;0.57301;0.57301;0.57301
0-1-0-2-0;0.58528;0.58528;0.58528;0.58528;0.58528;0.58528;0.58528;0.58528
0-1-0-0-2;0.57476;0.57476;0.57476;0.57476;0.57476;0.57476;0.57476;0.57476
0-0-1-2-0;0.57192;0.57192;0.57192;0.57192;0.57192;0.57192;0.57192;0.57192
0-0-1-0-2;0.55413;0.55413;0.55413;0.55413;0.55413;0.55413;0.55413;0.55413
0-0-0-1-2;0.57598;0.57598;0.57598;0.57598;0.57598;0.57598;0.57598;0.57598
1-2-3-0-0;0.57763;0.57672;0.57151;0.57059;0.57672;0.57672;0.57059;0.57059
1-2-0-3-0;0.58565;0.58521;0.57603;0.57557;0.58521;0.58521;0.57557;0.57557
1-2-0-0-3;0.57811;0.57766;0.57448;0.57402;0.57766;0.57766;0.57402;0.57402
1-0-2-3-0;0.58007;0.57872;0.56237;0.56099;0.57872;0.57872;0.56099;0.56099
1-0-2-0-3;0.56753;0.56663;0.56077;0.55939;0.56663;0.56663;0.55939;0.55939
1-0-0-2-3;0.57837;0.57881;0.57863;0.57909;0.57881;0.57881;0.57909;0.57909
0-1-2-3-0;0.58411;0.58322;0.57243;0.57151;0.58322;0.58322;0.57151;0.57151
0-1-2-0-3;0.57646;0.57556;0.57130;0.57038;0.57556;0.57556;0.57038;0.57038
0-1-0-2-3;0.58425;0.58380;0.58488;0.58396;0.58380;0.58380;0.58396;0.58396
0-0-1-2-3;0.57423;0.57378;0.57227;0.57088;0.57378;0.57378;0.57088;0.57088
1-2-3-4-0;0.58515;0.58471;0.57931;0.57886;0.58471;0.58471;0.57886;0.57886
1-2-3-0-4;0.57844;0.57799;0.57736;0.57690;0.57799;0.57799;0.57690;0.57690
1-2-0-3-4;0.58289;0.58245;0.58601;0.58555;0.58245;0.58245;0.58555;0.58555
1-0-2-3-4;0.57781;0.57781;0.58035;0.58035;0.57781;0.57781;0.58035;0.58035
0-1-2-3-4;0.58231;0.58186;0.58561;0.58516;0.58186;0.58186;0.58516;0.58516
1-2-3-4-5;0.58840;0.58750;0.57707;0.57615;0.58795;0.58750;0.57661;0.57615
