;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.57043;0.57043;0.57043;0.57043;0.57043;0.57043;0.57043;0.57043
0-1-0-0-0;0.58262;0.58262;0.58262;0.58262;0.58262;0.58262;0.58262;0.58262
0-0-1-0-0;0.55013;0.55013;0.55013;0.55013;0.55013;0.55013;0.55013;0.55013
0-0-0-1-0;0.57924;0.57924;0.57924;0.57924;0.57924;0.57924;0.57924;0.57924
0-0-0-0-1;0.56303;0.56303;0.56303;0.56303;0.56303;0.56303;0.56303;0.56303
1-2-0-0-0;0.58714;0.58714;0.58714;0.58714;0.58714;0.58714;0.58714;0.58714
1-0-2-0-0;0.57874;0.57874;0.57874;0.57874;0.57874;0.57874;0.57874;0.57874
1-0-0-2-0;0.58713;0.58713;0.58713;0.58713;0.58713;0.58713;0.58713;0.58713
1-0-0-0-2;0.57964;0.57964;0.57964;0.57964;0.57964;0.57964;0.57964;0.57964
0-1-2-0-0;0.58757;0.58757;0.58757;0.58757;0.58757;0.58757;0.58757;0.58757
0-1-0-2-0;0.59256;0.59256;0.59256;0.59256;0.59256;0.59256;0.59256;0.59256
0-1-0-0-2;0.58646;0.58646;0.58646;0.58646;0.58646;0.58646;0.58646;0.58646
0-0-1-2-0;0.58294;0.58294;0.58294;0.58294;0.58294;0.58294;0.58294;0.58294
0-0-1-0-2;0.57169;0.57169;0.57169;0.57169;0.57169;0.57169;0.57169;0.57169
0-0-0-1-2;0.58315;0.58315;0.58315;0.58315;0.58315;0.58315;0.58315;0.58315
1-2-3-0-0;0.58895;0.58788;0.58690;0.58580;0.58788;0.58788;0.58580;0.58580
1-2-0-3-0;0.59166;0.59026;0.58997;0.58851;0.59026;0.59026;0.58851;0.58851
1-2-0-0-3;0.58784;0.58678;0.58768;0.58695;0.58678;0.58678;0.58695;0.58695
1-0-2-3-0;0.58788;0.58612;0.58028;0.57845;0.58612;0.58612;0.57845;0.57845
1-0-2-0-3;0.58066;0.57923;0.57799;0.57615;0.57923;0.57923;0.57615;0.57615
1-0-0-2-3;0.58536;0.58466;0.58981;0.58909;0.58466;0.58466;0.58909;0.58909
0-1-2-3-0;0.59221;0.59115;0.58837;0.58727;0.59115;0.59115;0.58727;0.58727
0-1-2-0-3;0.58814;0.58707;0.58600;0.58490;0.58707;0.58707;0.58490;0.58490
0-1-0-2-3;0.58996;0.58856;0.59648;0.59466;0.58856;0.58856;0.59466;0.59466
0-0-1-2-3;0.58283;0.58213;0.58606;0.58459;0.58213;0.58213;0.58459;0.58459
1-2-3-4-0;0.59126;0.59056;0.59255;0.59182;0.59056;0.59056;0.59182;0.59182
1-2-3-0-4;0.58778;0.58743;0.59036;0.59000;0.58743;0.58743;0.59000;0.59000
1-2-0-3-4;0.58775;0.58672;0.59653;0.59545;0.58672;0.58672;0.59545;0.59545
1-0-2-3-4;0.58478;0.58478;0.59263;0.59263;0.58478;0.58478;0.59263;0.59263
0-1-2-3-4;0.58879;0.58809;0.59787;0.59714;0.58809;0.58809;0.59714;0.59714
1-2-3-4-5;0.59861;0.59718;0.59119;0.58973;0.59789;0.59718;0.59046;0.58973
