;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.06685;0.06685;0.06685;0.06685;0.06685;0.06685;0.06685;0.06685
0-1-0-0-0;0.06765;0.06765;0.06765;0.06765;0.06765;0.06765;0.06765;0.06765
0-0-1-0-0;0.06896;0.06896;0.06896;0.06896;0.06896;0.06896;0.06896;0.06896
0-0-0-1-0;0.06863;0.06863;0.06863;0.06863;0.06863;0.06863;0.06863;0.06863
0-0-0-0-1;0.06909;0.06909;0.06909;0.06909;0.06909;0.06909;0.06909;0.06909
1-2-0-0-0;0.07450;0.07450;0.07450;0.07450;0.07450;0.07450;0.07450;0.07450
1-0-2-0-0;0.07678;0.07678;0.07678;0.07678;0.07678;0.07678;0.07678;0.07678
1-0-0-2-0;0.07798;0.07798;0.07798;0.07798;0.07798;0.07798;0.07798;0.07798
1-0-0-0-2;0.07786;0.07786;0.07786;0.07786;0.07786;0.07786;0.07786;0.07786
0-1-2-0-0;0.07759;0.07759;0.07759;0.07759;0.07759;0.07759;0.07759;0.07759
0-1-0-2-0;0.07684;0.07684;0.07684;0.07684;0.07684;0.07684;0.07684;0.07684
0-1-0-0-2;0.07744;0.07744;0.07744;0.07744;0.07744;0.07744;0.07744;0.07744
0-0-1-2-0;0.07876;0.07876;0.07876;0.07876;0.07876;0.07876;0.07876;0.07876
0-0-1-0-2;0.07814;0.07814;0.07814;0.07814;0.07814;0.07814;0.07814;0.07814
0-0-0-1-2;0.08069;0.08069;0.08069;0.08069;0.08069;0.08069;0.08069;0.08069
1-2-3-0-0;0.08084;0.06611;0.08260;0.06765;0.06611;0.06611;0.06765;0.06765
1-2-0-3-0;0.08213;0.06606;0.08261;0.06618;0.06606;0.06606;0.06618;0.06618
1-2-0-0-3;0.08223;0.06559;0.08265;0.06586;0.06559;0.06559;0.06586;0.06586
1-0-2-3-0;0.08312;0.06724;0.08322;0.06683;0.06724;0.06724;0.06683;0.06683
1-0-2-0-3;0.08310;0.06639;0.08331;0.06643;0.06639;0.06639;0.06643;0.06643
1-0-0-2-3;0.08558;0.06666;0.08565;0.06644;0.06666;0.06666;0.06644;0.06644
0-1-2-3-0;0.08223;0.06655;0.08420;0.06827;0.06655;0.06655;0.06827;0.06827
0-1-2-0-3;0.08294;0.06654;0.08457;0.06796;0.06654;0.06654;0.06796;0.06796
0-1-0-2-3;0.08523;0.06708;0.08505;0.06673;0.06708;0.06708;0.06673;0.06673
0-0-1-2-3;0.08511;0.06763;0.08495;0.06869;0.06763;0.06763;0.06869;0.06869
1-2-3-4-0;0.08573;0.07159;0.08621;0.07161;0.07159;0.07159;0.07161;0.07161
1-2-3-0-4;0.08570;0.07174;0.08612;0.07205;0.07174;0.07174;0.07205;0.07205
1-2-0-3-4;0.08817;0.07257;0.08833;0.07251;0.07257;0.07257;0.07251;0.07251
1-0-2-3-4;0.08839;0.07199;0.08854;0.07192;0.07199;0.07199;0.07192;0.07192
0-1-2-3-4;0.08846;0.07214;0.08830;0.07190;0.07214;0.07214;0.07190;0.07190
1-2-3-4-5;0.07587;0.06658;0.07550;0.06609;0.07113;0.06658;0.07069;0.06609
