;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1299;1299;1299;1299;1299;1299;1299;1299
0-1-0-0-0;1232;1232;1232;1232;1232;1232;1232;1232
0-0-1-0-0;1413;1413;1413;1413;1413;1413;1413;1413
0-0-0-1-0;1219;1219;1219;1219;1219;1219;1219;1219
0-0-0-0-1;1323;1323;1323;1323;1323;1323;1323;1323
1-2-0-0-0;1180;1180;1180;1180;1180;1180;1180;1180
1-0-2-0-0;1246;1246;1246;1246;1246;1246;1246;1246
1-0-0-2-0;1139;1139;1139;1139;1139;1139;1139;1139
1-0-0-0-2;1212;1212;1212;1212;1212;1212;1212;1212
0-1-2-0-0;1197;1197;1197;1197;1197;1197;1197;1197
0-1-0-2-0;1108;1108;1108;1108;1108;1108;1108;1108
0-1-0-0-2;1172;1172;1172;1172;1172;1172;1172;1172
0-0-1-2-0;1183;1183;1183;1183;1183;1183;1183;1183
0-0-1-0-2;1268;1268;1268;1268;1268;1268;1268;1268
0-0-0-1-2;1162;1162;1162;1162;1162;1162;1162;1162
1-2-3-0-0;1158;1160;1221;1223;1160;1160;1223;1223
1-2-0-3-0;1085;1086;1201;1202;1086;1086;1202;1202
1-2-0-0-3;1139;1140;1204;1205;1140;1140;1205;1205
1-0-2-3-0;1124;1127;1260;1263;1127;1127;1263;1263
1-0-2-0-3;1192;1194;1266;1269;1194;1194;1269;1269
1-0-0-2-3;1119;1118;1180;1179;1118;1118;1179;1179
0-1-2-3-0;1101;1103;1215;1217;1103;1103;1217;1217
0-1-2-0-3;1154;1156;1220;1222;1156;1156;1222;1222
0-1-0-2-3;1090;1091;1148;1150;1091;1091;1150;1150
0-0-1-2-3;1148;1149;1215;1218;1149;1149;1218;1218
1-2-3-4-0;1078;1079;1173;1174;1079;1079;1174;1174
1-2-3-0-4;1128;1129;1178;1179;1129;1129;1179;1179
1-2-0-3-4;1075;1076;1123;1124;1076;1076;1124;1124
1-0-2-3-4;1110;1110;1159;1159;1110;1110;1159;1159
0-1-2-3-4;1087;1088;1132;1133;1088;1088;1133;1133
1-2-3-4-5;1107;1109;1194;1196;1108;1109;1195;1196
