;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;13384319;13384319;13384319;13384319;13384319;13384319;13384319;13384319
0-1-0-0-0;13358640;13358640;13358640;13358640;13358640;13358640;13358640;13358640
0-0-1-0-0;13070791;13070791;13070791;13070791;13070791;13070791;13070791;13070791
0-0-0-1-0;13256690;13256690;13256690;13256690;13256690;13256690;13256690;13256690
0-0-0-0-1;13310524;13310524;13310524;13310524;13310524;13310524;13310524;13310524
1-2-0-0-0;13455659;13455659;13455659;13455659;13455659;13455659;13455659;13455659
1-0-2-0-0;13381858;13381858;13381858;13381858;13381858;13381858;13381858;13381858
1-0-0-2-0;13458389;13458389;13458389;13458389;13458389;13458389;13458389;13458389
1-0-0-0-2;13382669;13382669;13382669;13382669;13382669;13382669;13382669;13382669
0-1-2-0-0;13338199;13338199;13338199;13338199;13338199;13338199;13338199;13338199
0-1-0-2-0;13471627;13471627;13471627;13471627;13471627;13471627;13471627;13471627
0-1-0-0-2;13371079;13371079;13371079;13371079;13371079;13371079;13371079;13371079
0-0-1-2-0;13350410;13350410;13350410;13350410;13350410;13350410;13350410;13350410
0-0-1-0-2;13352903;13352903;13352903;13352903;13352903;13352903;13352903;13352903
0-0-0-1-2;13348938;13348938;13348938;13348938;13348938;13348938;13348938;13348938
1-2-3-0-0;13406935;13574200;13237868;13403739;13574200;13574200;13403739;13403739
1-2-0-3-0;13470670;13667338;13256423;13451058;13667338;13667338;13451058;13451058
1-2-0-0-3;13423768;13630812;13293150;13499947;13630812;13630812;13499947;13499947
1-0-2-3-0;13404124;13581502;13231947;13411452;13581502;13581502;13411452;13411452
1-0-2-0-3;13376974;13573476;13213576;13401037;13573476;13573476;13401037;13401037
1-0-0-2-3;13377274;13647110;13265233;13534241;13647110;13647110;13534241;13534241
0-1-2-3-0;13400477;13591782;13186558;13377100;13591782;13591782;13377100;13377100
0-1-2-0-3;13390366;13611139;13176114;13395062;13611139;13611139;13395062;13395062
0-1-0-2-3;13382841;13623731;13279254;13519227;13623731;13623731;13519227;13519227
0-0-1-2-3;13337859;13564714;13250489;13439864;13564714;13564714;13439864;13439864
1-2-3-4-0;13415198;13618313;13269631;13474430;13618313;13618313;13474430;13474430
1-2-3-0-4;13422246;13570081;13293354;13438773;13570081;13570081;13438773;13438773
1-2-0-3-4;13371203;13604428;13274224;13502972;13604428;13604428;13502972;13502972
1-0-2-3-4;13331647;13584047;13269749;13517648;13584047;13584047;13517648;13517648
0-1-2-3-4;13316835;13563713;13265885;13514770;13563713;13563713;13514770;13514770
1-2-3-4-5;13537262;13636221;13386432;13485508;13595305;13636221;13444675;13485508
