;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;10019086;10019086;10019086;10019086;10019086;10019086;10019086;10019086
0-1-0-0-0;10024089;10024089;10024089;10024089;10024089;10024089;10024089;10024089
0-0-1-0-0;9959198;9959198;9959198;9959198;9959198;9959198;9959198;9959198
0-0-0-1-0;10065546;10065546;10065546;10065546;10065546;10065546;10065546;10065546
0-0-0-0-1;10028825;10028825;10028825;10028825;10028825;10028825;10028825;10028825
1-2-0-0-0;10402041;10402041;10402041;10402041;10402041;10402041;10402041;10402041
1-0-2-0-0;10426181;10426181;10426181;10426181;10426181;10426181;10426181;10426181
1-0-0-2-0;10506230;10506230;10506230;10506230;10506230;10506230;10506230;10506230
1-0-0-0-2;10407812;10407812;10407812;10407812;10407812;10407812;10407812;10407812
0-1-2-0-0;10386867;10386867;10386867;10386867;10386867;10386867;10386867;10386867
0-1-0-2-0;10518238;10518238;10518238;10518238;10518238;10518238;10518238;10518238
0-1-0-0-2;10415889;10415889;10415889;10415889;10415889;10415889;10415889;10415889
0-0-1-2-0;10449528;10449528;10449528;10449528;10449528;10449528;10449528;10449528
0-0-1-0-2;10380462;10380462;10380462;10380462;10380462;10380462;10380462;10380462
0-0-0-1-2;10482771;10482771;10482771;10482771;10482771;10482771;10482771;10482771
1-2-3-0-0;10594321;10252130;10458981;10119231;10252130;10252130;10119231;10119231
1-2-0-3-0;10665884;10274155;10535474;10144585;10274155;10274155;10144585;10144585
1-2-0-0-3;10572454;10259203;10490024;10177133;10259203;10259203;10177133;10177133
1-0-2-3-0;10666339;10269489;10552378;10162397;10269489;10269489;10162397;10162397
1-0-2-0-3;10574879;10263077;10482924;10169130;10263077;10263077;10169130;10169130
1-0-0-2-3;10635680;10274584;10571556;10212762;10274584;10274584;10212762;10212762
0-1-2-3-0;10680540;10293583;10505048;10118526;10293583;10293583;10118526;10118526
0-1-2-0-3;10582119;10280657;10429724;10127903;10280657;10280657;10127903;10127903
0-1-0-2-3;10647155;10291501;10594716;10237731;10291501;10291501;10237731;10237731
0-0-1-2-3;10618700;10294634;10558349;10186834;10294634;10294634;10186834;10186834
1-2-3-4-0;10771095;10449138;10675937;10360984;10449138;10449138;10360984;10360984
1-2-3-0-4;10699949;10393303;10623111;10316065;10393303;10393303;10316065;10316065
1-2-0-3-4;10732891;10409507;10681090;10356704;10409507;10409507;10356704;10356704
1-0-2-3-4;10733089;10454854;10693038;10413843;10454854;10454854;10413843;10413843
0-1-2-3-4;10742155;10467783;10708686;10433830;10467783;10467783;10433830;10433830
1-2-3-4-5;10557524;10304092;10455101;10201460;10440180;10304092;10337601;10201460
