;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.36882;0.36882;0.36882;0.36882;0.36882;0.36882;0.36882;0.36882
0-1-0-0-0;0.36890;0.36890;0.36890;0.36890;0.36890;0.36890;0.36890;0.36890
0-0-1-0-0;0.37258;0.37258;0.37258;0.37258;0.37258;0.37258;0.37258;0.37258
0-0-0-1-0;0.37142;0.37142;0.37142;0.37142;0.37142;0.37142;0.37142;0.37142
0-0-0-0-1;0.37086;0.37086;0.37086;0.37086;0.37086;0.37086;0.37086;0.37086
1-2-0-0-0;0.37628;0.37628;0.37628;0.37628;0.37628;0.37628;0.37628;0.37628
1-0-2-0-0;0.37814;0.37814;0.37814;0.37814;0.37814;0.37814;0.37814;0.37814
1-0-0-2-0;0.37775;0.37775;0.37775;0.37775;0.37775;0.37775;0.37775;0.37775
1-0-0-0-2;0.37745;0.37745;0.37745;0.37745;0.37745;0.37745;0.37745;0.37745
0-1-2-0-0;0.37734;0.37734;0.37734;0.37734;0.37734;0.37734;0.37734;0.37734
0-1-0-2-0;0.37800;0.37800;0.37800;0.37800;0.37800;0.37800;0.37800;0.37800
0-1-0-0-2;0.37778;0.37778;0.37778;0.37778;0.37778;0.37778;0.37778;0.37778
0-0-1-2-0;0.37825;0.37825;0.37825;0.37825;0.37825;0.37825;0.37825;0.37825
0-0-1-0-2;0.37739;0.37739;0.37739;0.37739;0.37739;0.37739;0.37739;0.37739
0-0-0-1-2;0.37885;0.37885;0.37885;0.37885;0.37885;0.37885;0.37885;0.37885
1-2-3-0-0;0.38082;0.37186;0.37992;0.37096;0.37186;0.37186;0.37096;0.37096
1-2-0-3-0;0.38055;0.37025;0.38148;0.37113;0.37025;0.37025;0.37113;0.37113
1-2-0-0-3;0.37904;0.37125;0.37961;0.37176;0.37125;0.37125;0.37176;0.37176
1-0-2-3-0;0.38184;0.37152;0.38260;0.37248;0.37152;0.37152;0.37248;0.37248
1-0-2-0-3;0.38040;0.37253;0.38139;0.37352;0.37253;0.37253;0.37352;0.37352
1-0-0-2-3;0.38076;0.37097;0.38142;0.37167;0.37097;0.37097;0.37167;0.37167
0-1-2-3-0;0.38240;0.37213;0.38148;0.37111;0.37213;0.37213;0.37111;0.37111
0-1-2-0-3;0.38024;0.37222;0.37993;0.37180;0.37222;0.37222;0.37180;0.37180
0-1-0-2-3;0.38096;0.37148;0.38181;0.37229;0.37148;0.37148;0.37229;0.37229
0-0-1-2-3;0.38137;0.37286;0.38174;0.37215;0.37286;0.37286;0.37215;0.37215
1-2-3-4-0;0.38345;0.37480;0.38395;0.37555;0.37480;0.37480;0.37555;0.37555
1-2-3-0-4;0.38149;0.37467;0.38210;0.37524;0.37467;0.37467;0.37524;0.37524
1-2-0-3-4;0.38239;0.37388;0.38302;0.37454;0.37388;0.37388;0.37454;0.37454
1-0-2-3-4;0.38347;0.37595;0.38376;0.37630;0.37595;0.37595;0.37630;0.37630
0-1-2-3-4;0.38374;0.37641;0.38408;0.37669;0.37641;0.37641;0.37669;0.37669
1-2-3-4-5;0.37863;0.37196;0.37926;0.37252;0.37550;0.37196;0.37610;0.37252
