;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.38634;0.38634;0.38634;0.38634;0.38634;0.38634;0.38634;0.38634
0-1-0-0-0;0.38631;0.38631;0.38631;0.38631;0.38631;0.38631;0.38631;0.38631
0-0-1-0-0;0.38963;0.38963;0.38963;0.38963;0.38963;0.38963;0.38963;0.38963
0-0-0-1-0;0.38781;0.38781;0.38781;0.38781;0.38781;0.38781;0.38781;0.38781
0-0-0-0-1;0.38961;0.38961;0.38961;0.38961;0.38961;0.38961;0.38961;0.38961
1-2-0-0-0;0.39542;0.39542;0.39542;0.39542;0.39542;0.39542;0.39542;0.39542
1-0-2-0-0;0.39759;0.39759;0.39759;0.39759;0.39759;0.39759;0.39759;0.39759
1-0-0-2-0;0.39702;0.39702;0.39702;0.39702;0.39702;0.39702;0.39702;0.39702
1-0-0-0-2;0.39792;0.39792;0.39792;0.39792;0.39792;0.39792;0.39792;0.39792
0-1-2-0-0;0.39714;0.39714;0.39714;0.39714;0.39714;0.39714;0.39714;0.39714
0-1-0-2-0;0.39659;0.39659;0.39659;0.39659;0.39659;0.39659;0.39659;0.39659
0-1-0-0-2;0.39788;0.39788;0.39788;0.39788;0.39788;0.39788;0.39788;0.39788
0-0-1-2-0;0.39757;0.39757;0.39757;0.39757;0.39757;0.39757;0.39757;0.39757
0-0-1-0-2;0.39799;0.39799;0.39799;0.39799;0.39799;0.39799;0.39799;0.39799
0-0-0-1-2;0.39918;0.39918;0.39918;0.39918;0.39918;0.39918;0.39918;0.39918
1-2-3-0-0;0.40125;0.38833;0.40107;0.38805;0.38833;0.38833;0.38805;0.38805
1-2-0-3-0;0.40067;0.38642;0.40188;0.38743;0.38642;0.38642;0.38743;0.38743
1-2-0-0-3;0.40027;0.38801;0.40116;0.38877;0.38801;0.38801;0.38877;0.38877
1-0-2-3-0;0.40231;0.38783;0.40314;0.38872;0.38783;0.38783;0.38872;0.38872
1-0-2-0-3;0.40160;0.38934;0.40280;0.39044;0.38934;0.38934;0.39044;0.39044
1-0-0-2-3;0.40227;0.38790;0.40287;0.38841;0.38790;0.38790;0.38841;0.38841
0-1-2-3-0;0.40233;0.38805;0.40219;0.38770;0.38805;0.38805;0.38770;0.38770
0-1-2-0-3;0.40156;0.38949;0.40188;0.38960;0.38949;0.38949;0.38960;0.38960
0-1-0-2-3;0.40229;0.38809;0.40305;0.38874;0.38809;0.38809;0.38874;0.38874
0-0-1-2-3;0.40273;0.38959;0.40302;0.38925;0.38959;0.38959;0.38925;0.38925
1-2-3-4-0;0.40442;0.39247;0.40516;0.39333;0.39247;0.39247;0.39333;0.39333
1-2-3-0-4;0.40334;0.39287;0.40422;0.39364;0.39287;0.39287;0.39364;0.39364
1-2-0-3-4;0.40420;0.39224;0.40490;0.39282;0.39224;0.39224;0.39282;0.39282
1-0-2-3-4;0.40534;0.39394;0.40567;0.39418;0.39394;0.39394;0.39418;0.39418
0-1-2-3-4;0.40539;0.39420;0.40568;0.39442;0.39420;0.39420;0.39442;0.39442
1-2-3-4-5;0.39767;0.38856;0.39836;0.38915;0.39330;0.38856;0.39394;0.38915
