;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.49270;0.49270;0.49270;0.49270;0.49270;0.49270;0.49270;0.49270
0-1-0-0-0;0.49161;0.49161;0.49161;0.49161;0.49161;0.49161;0.49161;0.49161
0-0-1-0-0;0.48899;0.48899;0.48899;0.48899;0.48899;0.48899;0.48899;0.48899
0-0-0-1-0;0.48918;0.48918;0.48918;0.48918;0.48918;0.48918;0.48918;0.48918
0-0-0-0-1;0.49221;0.49221;0.49221;0.49221;0.49221;0.49221;0.49221;0.49221
1-2-0-0-0;0.48674;0.48674;0.48674;0.48674;0.48674;0.48674;0.48674;0.48674
1-0-2-0-0;0.48534;0.48534;0.48534;0.48534;0.48534;0.48534;0.48534;0.48534
1-0-0-2-0;0.48389;0.48389;0.48389;0.48389;0.48389;0.48389;0.48389;0.48389
1-0-0-0-2;0.48533;0.48533;0.48533;0.48533;0.48533;0.48533;0.48533;0.48533
0-1-2-0-0;0.48456;0.48456;0.48456;0.48456;0.48456;0.48456;0.48456;0.48456
0-1-0-2-0;0.48414;0.48414;0.48414;0.48414;0.48414;0.48414;0.48414;0.48414
0-1-0-0-2;0.48497;0.48497;0.48497;0.48497;0.48497;0.48497;0.48497;0.48497
0-0-1-2-0;0.48326;0.48326;0.48326;0.48326;0.48326;0.48326;0.48326;0.48326
0-0-1-0-2;0.48546;0.48546;0.48546;0.48546;0.48546;0.48546;0.48546;0.48546
0-0-0-1-2;0.48243;0.48243;0.48243;0.48243;0.48243;0.48243;0.48243;0.48243
1-2-3-0-0;0.48192;0.49235;0.48086;0.49137;0.49235;0.49235;0.49137;0.49137
1-2-0-3-0;0.48062;0.49253;0.48000;0.49209;0.49253;0.49253;0.49209;0.49209
1-2-0-0-3;0.48126;0.49326;0.48105;0.49314;0.49326;0.49326;0.49314;0.49314
1-0-2-3-0;0.47985;0.49134;0.47975;0.49156;0.49134;0.49134;0.49156;0.49156
1-0-2-0-3;0.48120;0.49270;0.48074;0.49223;0.49270;0.49270;0.49223;0.49223
1-0-0-2-3;0.47890;0.49273;0.47860;0.49255;0.49273;0.49273;0.49255;0.49255
0-1-2-3-0;0.47978;0.49137;0.47886;0.49062;0.49137;0.49137;0.49062;0.49062
0-1-2-0-3;0.48114;0.49280;0.47997;0.49174;0.49280;0.49280;0.49174;0.49174
0-1-0-2-3;0.47885;0.49176;0.47856;0.49161;0.49176;0.49176;0.49161;0.49161
0-0-1-2-3;0.47903;0.49129;0.47908;0.49099;0.49129;0.49129;0.49099;0.49099
1-2-3-4-0;0.47758;0.48848;0.47723;0.48841;0.48848;0.48848;0.48841;0.48841
1-2-3-0-4;0.47855;0.48919;0.47814;0.48882;0.48919;0.48919;0.48882;0.48882
1-2-0-3-4;0.47639;0.48864;0.47601;0.48832;0.48864;0.48864;0.48832;0.48832
1-0-2-3-4;0.47631;0.48847;0.47624;0.48845;0.48847;0.48847;0.48845;0.48845
0-1-2-3-4;0.47571;0.48773;0.47580;0.48791;0.48773;0.48773;0.48791;0.48791
1-2-3-4-5;0.48549;0.49225;0.48559;0.49244;0.48898;0.49225;0.48914;0.49244
