;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;11;11;11;11;11;11;11;11
0-1-0-0-0;11;11;11;11;11;11;11;11
0-0-1-0-0;11;11;11;11;11;11;11;11
0-0-0-1-0;11;11;11;11;11;11;11;11
0-0-0-0-1;11;11;11;11;11;11;11;11
1-2-0-0-0;11;11;11;11;11;11;11;11
1-0-2-0-0;11;11;11;11;11;11;11;11
1-0-0-2-0;11;11;11;11;11;11;11;11
1-0-0-0-2;11;11;11;11;11;11;11;11
0-1-2-0-0;11;11;11;11;11;11;11;11
0-1-0-2-0;11;11;11;11;11;11;11;11
0-1-0-0-2;11;11;11;11;11;11;11;11
0-0-1-2-0;11;11;11;11;11;11;11;11
0-0-1-0-2;11;11;11;11;11;11;11;11
0-0-0-1-2;11;11;11;11;11;11;11;11
1-2-3-0-0;11;11;11;11;11;11;11;11
1-2-0-3-0;11;11;11;11;11;11;11;11
1-2-0-0-3;11;11;11;11;11;11;11;11
1-0-2-3-0;11;11;11;11;11;11;11;11
1-0-2-0-3;11;11;11;11;11;11;11;11
1-0-0-2-3;11;11;11;11;11;11;11;11
0-1-2-3-0;11;11;11;11;11;11;11;11
0-1-2-0-3;11;11;11;11;11;11;11;11
0-1-0-2-3;11;11;11;11;11;11;11;11
0-0-1-2-3;11;11;11;11;11;11;11;11
1-2-3-4-0;11;11;11;11;11;11;11;11
1-2-3-0-4;11;11;11;11;11;11;11;11
1-2-0-3-4;11;11;11;11;11;11;11;11
1-0-2-3-4;11;11;11;11;11;11;11;11
0-1-2-3-4;11;11;11;11;11;11;11;11
1-2-3-4-5;11;11;11;11;11;11;11;11
