;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.07503;0.07503;0.07503;0.07503;0.07503;0.07503;0.07503;0.07503
0-1-0-0-0;0.07523;0.07523;0.07523;0.07523;0.07523;0.07523;0.07523;0.07523
0-0-1-0-0;0.07264;0.07264;0.07264;0.07264;0.07264;0.07264;0.07264;0.07264
0-0-0-1-0;0.07389;0.07389;0.07389;0.07389;0.07389;0.07389;0.07389;0.07389
0-0-0-0-1;0.07127;0.07127;0.07127;0.07127;0.07127;0.07127;0.07127;0.07127
1-2-0-0-0;0.06566;0.06566;0.06566;0.06566;0.06566;0.06566;0.06566;0.06566
1-0-2-0-0;0.06282;0.06282;0.06282;0.06282;0.06282;0.06282;0.06282;0.06282
1-0-0-2-0;0.06346;0.06346;0.06346;0.06346;0.06346;0.06346;0.06346;0.06346
1-0-0-0-2;0.06258;0.06258;0.06258;0.06258;0.06258;0.06258;0.06258;0.06258
0-1-2-0-0;0.06368;0.06368;0.06368;0.06368;0.06368;0.06368;0.06368;0.06368
0-1-0-2-0;0.06401;0.06401;0.06401;0.06401;0.06401;0.06401;0.06401;0.06401
0-1-0-0-2;0.06298;0.06298;0.06298;0.06298;0.06298;0.06298;0.06298;0.06298
0-0-1-2-0;0.06277;0.06277;0.06277;0.06277;0.06277;0.06277;0.06277;0.06277
0-0-1-0-2;0.06222;0.06222;0.06222;0.06222;0.06222;0.06222;0.06222;0.06222
0-0-0-1-2;0.06115;0.06115;0.06115;0.06115;0.06115;0.06115;0.06115;0.06115
1-2-3-0-0;0.05946;0.07277;0.05977;0.07324;0.07277;0.07277;0.07324;0.07324
1-2-0-3-0;0.05971;0.07427;0.05890;0.07370;0.07427;0.07427;0.07370;0.07370
1-2-0-0-3;0.06069;0.07306;0.05990;0.07240;0.07306;0.07306;0.07240;0.07240
1-0-2-3-0;0.05815;0.07298;0.05735;0.07214;0.07298;0.07298;0.07214;0.07214
1-0-2-0-3;0.05838;0.07147;0.05762;0.07090;0.07147;0.07147;0.07090;0.07090
1-0-0-2-3;0.05785;0.07282;0.05738;0.07247;0.07282;0.07282;0.07247;0.07247
0-1-2-3-0;0.05849;0.07294;0.05847;0.07314;0.07294;0.07294;0.07314;0.07314
0-1-2-0-3;0.05880;0.07162;0.05874;0.07177;0.07162;0.07162;0.07177;0.07177
0-1-0-2-3;0.05804;0.07279;0.05761;0.07243;0.07279;0.07279;0.07243;0.07243
0-0-1-2-3;0.05753;0.07128;0.05726;0.07129;0.07128;0.07128;0.07129;0.07129
1-2-3-4-0;0.05615;0.06820;0.05552;0.06748;0.06820;0.06820;0.06748;0.06748
1-2-3-0-4;0.05736;0.06753;0.05675;0.06702;0.06753;0.06753;0.06702;0.06702
1-2-0-3-4;0.05608;0.06809;0.05565;0.06778;0.06809;0.06809;0.06778;0.06778
1-0-2-3-4;0.05478;0.06663;0.05440;0.06634;0.06663;0.06663;0.06634;0.06634
0-1-2-3-4;0.05503;0.06673;0.05473;0.06649;0.06673;0.06673;0.06649;0.06649
1-2-3-4-5;0.06303;0.07230;0.06265;0.07204;0.06743;0.07230;0.06712;0.07204
