;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.35260;0.35260;0.35260;0.35260;0.35260;0.35260;0.35260;0.35260
0-1-0-0-0;0.33163;0.33163;0.33163;0.33163;0.33163;0.33163;0.33163;0.33163
0-0-1-0-0;0.38938;0.38938;0.38938;0.38938;0.38938;0.38938;0.38938;0.38938
0-0-0-1-0;0.32683;0.32683;0.32683;0.32683;0.32683;0.32683;0.32683;0.32683
0-0-0-0-1;0.36827;0.36827;0.36827;0.36827;0.36827;0.36827;0.36827;0.36827
1-2-0-0-0;0.30925;0.30925;0.30925;0.30925;0.30925;0.30925;0.30925;0.30925
1-0-2-0-0;0.33087;0.33087;0.33087;0.33087;0.33087;0.33087;0.33087;0.33087
1-0-0-2-0;0.29424;0.29424;0.29424;0.29424;0.29424;0.29424;0.29424;0.29424
1-0-0-0-2;0.32063;0.32063;0.32063;0.32063;0.32063;0.32063;0.32063;0.32063
0-1-2-0-0;0.31683;0.31683;0.31683;0.31683;0.31683;0.31683;0.31683;0.31683
0-1-0-2-0;0.28626;0.28626;0.28626;0.28626;0.28626;0.28626;0.28626;0.28626
0-1-0-0-2;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993
0-0-1-2-0;0.30980;0.30980;0.30980;0.30980;0.30980;0.30980;0.30980;0.30980
0-0-1-0-2;0.34066;0.34066;0.34066;0.34066;0.34066;0.34066;0.34066;0.34066
0-0-0-1-2;0.30577;0.30577;0.30577;0.30577;0.30577;0.30577;0.30577;0.30577
1-2-3-0-0;0.30056;0.30104;0.32608;0.32655;0.30104;0.30104;0.32655;0.32655
1-2-0-3-0;0.27442;0.27506;0.32132;0.32195;0.27506;0.27506;0.32195;0.32195
1-2-0-0-3;0.29392;0.29439;0.32257;0.32288;0.29439;0.29439;0.32288;0.32288
1-0-2-3-0;0.28762;0.28841;0.33908;0.33985;0.28841;0.28841;0.33985;0.33985
1-0-2-0-3;0.31066;0.31129;0.34180;0.34257;0.31129;0.31129;0.34257;0.34257
1-0-0-2-3;0.28474;0.28505;0.31521;0.31552;0.28505;0.28505;0.31552;0.31552
0-1-2-3-0;0.28116;0.28164;0.32546;0.32593;0.28164;0.28164;0.32593;0.32593
0-1-2-0-3;0.30117;0.30164;0.32847;0.32893;0.30164;0.30164;0.32893;0.32893
0-1-0-2-3;0.27879;0.27943;0.30544;0.30623;0.27943;0.27943;0.30623;0.30623
0-0-1-2-3;0.29677;0.29708;0.32777;0.32840;0.29708;0.29708;0.32840;0.32840
1-2-3-4-0;0.27104;0.27136;0.30896;0.30927;0.27136;0.27136;0.30927;0.30927
1-2-3-0-4;0.28889;0.28905;0.31094;0.31110;0.28905;0.28905;0.31110;0.31110
1-2-0-3-4;0.26911;0.26959;0.29319;0.29367;0.26959;0.26959;0.29367;0.29367
1-0-2-3-4;0.28054;0.28054;0.30519;0.30519;0.28054;0.28054;0.30519;0.30519
0-1-2-3-4;0.27502;0.27533;0.29689;0.29721;0.27533;0.27533;0.29721;0.29721
1-2-3-4-5;0.28652;0.28716;0.31842;0.31905;0.28684;0.28716;0.31874;0.31905
