;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1468237;1468237;1468237;1468237;1468237;1468237;1468237;1468237
0-1-0-0-0;1482374;1482374;1482374;1482374;1482374;1482374;1482374;1482374
0-0-1-0-0;1480439;1480439;1480439;1480439;1480439;1480439;1480439;1480439
0-0-0-1-0;1508752;1508752;1508752;1508752;1508752;1508752;1508752;1508752
0-0-0-0-1;1475541;1475541;1475541;1475541;1475541;1475541;1475541;1475541
1-2-0-0-0;1671948;1671948;1671948;1671948;1671948;1671948;1671948;1671948
1-0-2-0-0;1706756;1706756;1706756;1706756;1706756;1706756;1706756;1706756
1-0-0-2-0;1764156;1764156;1764156;1764156;1764156;1764156;1764156;1764156
1-0-0-0-2;1715309;1715309;1715309;1715309;1715309;1715309;1715309;1715309
0-1-2-0-0;1719384;1719384;1719384;1719384;1719384;1719384;1719384;1719384
0-1-0-2-0;1756566;1756566;1756566;1756566;1756566;1756566;1756566;1756566
0-1-0-0-2;1706977;1706977;1706977;1706977;1706977;1706977;1706977;1706977
0-0-1-2-0;1755784;1755784;1755784;1755784;1755784;1755784;1755784;1755784
0-0-1-0-2;1710536;1710536;1710536;1710536;1710536;1710536;1710536;1710536
0-0-0-1-2;1789648;1789648;1789648;1789648;1789648;1789648;1789648;1789648
1-2-3-0-0;1819220;1484800;1821157;1487152;1484800;1484800;1487152;1487152
1-2-0-3-0;1879280;1497058;1851617;1469350;1497058;1497058;1469350;1469350
1-2-0-0-3;1841303;1473665;1824433;1457871;1473665;1473665;1457871;1457871
1-0-2-3-0;1884585;1512436;1857772;1481290;1512436;1512436;1481290;1481290
1-0-2-0-3;1854869;1476403;1831468;1454096;1476403;1476403;1454096;1454096
1-0-0-2-3;1924291;1491001;1908036;1474541;1491001;1491001;1474541;1474541
0-1-2-3-0;1872642;1505520;1874107;1507895;1505520;1505520;1507895;1507895
0-1-2-0-3;1847799;1482436;1846245;1482242;1482436;1482436;1482242;1482242
0-1-0-2-3;1916303;1507952;1900846;1491892;1507952;1507952;1491892;1491892
0-0-1-2-3;1901987;1506700;1887127;1506794;1506700;1506700;1506794;1506794
1-2-3-4-0;1961360;1624866;1942738;1601109;1624866;1624866;1601109;1601109
1-2-3-0-4;1930655;1601413;1915591;1587687;1601413;1601413;1587687;1587687
1-2-0-3-4;2000589;1624930;1986671;1609882;1624930;1624930;1609882;1609882
1-0-2-3-4;1992190;1617714;1982347;1606290;1617714;1617714;1606290;1606290
0-1-2-3-4;1993007;1623233;1983777;1613890;1623233;1623233;1613890;1613890
1-2-3-4-5;1709923;1493799;1678132;1461832;1601175;1493799;1569300;1461832
