;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.37703;0.37703;0.37703;0.37703;0.37703;0.37703;0.37703;0.37703
0-1-0-0-0;0.35317;0.35317;0.35317;0.35317;0.35317;0.35317;0.35317;0.35317
0-0-1-0-0;0.41568;0.41568;0.41568;0.41568;0.41568;0.41568;0.41568;0.41568
0-0-0-1-0;0.34754;0.34754;0.34754;0.34754;0.34754;0.34754;0.34754;0.34754
0-0-0-0-1;0.38401;0.38401;0.38401;0.38401;0.38401;0.38401;0.38401;0.38401
1-2-0-0-0;0.33294;0.33294;0.33294;0.33294;0.33294;0.33294;0.33294;0.33294
1-0-2-0-0;0.35638;0.35638;0.35638;0.35638;0.35638;0.35638;0.35638;0.35638
1-0-0-2-0;0.31683;0.31683;0.31683;0.31683;0.31683;0.31683;0.31683;0.31683
1-0-0-0-2;0.34263;0.34263;0.34263;0.34263;0.34263;0.34263;0.34263;0.34263
0-1-2-0-0;0.33952;0.33952;0.33952;0.33952;0.33952;0.33952;0.33952;0.33952
0-1-0-2-0;0.30608;0.30608;0.30608;0.30608;0.30608;0.30608;0.30608;0.30608
0-1-0-0-2;0.32896;0.32896;0.32896;0.32896;0.32896;0.32896;0.32896;0.32896
0-0-1-2-0;0.33236;0.33236;0.33236;0.33236;0.33236;0.33236;0.33236;0.33236
0-0-1-0-2;0.36162;0.36162;0.36162;0.36162;0.36162;0.36162;0.36162;0.36162
0-0-0-1-2;0.32509;0.32509;0.32509;0.32509;0.32509;0.32509;0.32509;0.32509
1-2-3-0-0;0.32421;0.32460;0.35000;0.35039;0.32460;0.32460;0.35039;0.35039
1-2-0-3-0;0.29630;0.29650;0.34323;0.34343;0.29650;0.29650;0.34343;0.34343
1-2-0-0-3;0.31591;0.31611;0.34371;0.34391;0.31611;0.31611;0.34391;0.34391
1-0-2-3-0;0.31032;0.31092;0.36312;0.36369;0.31092;0.31092;0.36369;0.36369
1-0-2-0-3;0.33392;0.33430;0.36502;0.36559;0.33430;0.33430;0.36559;0.36559
1-0-0-2-3;0.30721;0.30701;0.33491;0.33471;0.30701;0.30701;0.33471;0.33471
0-1-2-3-0;0.30241;0.30280;0.34770;0.34808;0.30280;0.30280;0.34808;0.34808
0-1-2-0-3;0.32173;0.32212;0.34939;0.34978;0.32212;0.32212;0.34978;0.34978
0-1-0-2-3;0.29772;0.29792;0.32375;0.32414;0.29792;0.29792;0.32414;0.32414
0-0-1-2-3;0.31778;0.31797;0.34759;0.34817;0.31797;0.31797;0.34817;0.34817
1-2-3-4-0;0.29305;0.29325;0.33206;0.33225;0.29325;0.29325;0.33225;0.33225
1-2-3-0-4;0.31121;0.31140;0.33324;0.33343;0.31140;0.31140;0.33343;0.33343
1-2-0-3-4;0.29063;0.29083;0.31310;0.31330;0.29083;0.29083;0.31330;0.31330
1-0-2-3-4;0.30299;0.30299;0.32621;0.32621;0.30299;0.30299;0.32621;0.32621
0-1-2-3-4;0.29544;0.29563;0.31691;0.31711;0.29563;0.29563;0.31711;0.31711
1-2-3-4-5;0.30729;0.30769;0.34055;0.34094;0.30749;0.30769;0.34074;0.34094
