;results
1-0-0-0-0-0-0-0-0-0;0.08649
0-1-0-0-0-0-0-0-0-0;0.10862
0-0-1-0-0-0-0-0-0-0;0.10349
0-0-0-1-0-0-0-0-0-0;0.09978
0-0-0-0-1-0-0-0-0-0;0.10352
0-0-0-0-0-1-0-0-0-0;0.09574
0-0-0-0-0-0-1-0-0-0;0.10415
0-0-0-0-0-0-0-1-0-0;0.10058
0-0-0-0-0-0-0-0-1-0;0.10250
0-0-0-0-0-0-0-0-0-1;0.09794
