;results
1-0-0-0-0-0-0-0-0-0;0.42317
0-1-0-0-0-0-0-0-0-0;0.42345
0-0-1-0-0-0-0-0-0-0;0.42241
0-0-0-1-0-0-0-0-0-0;0.42035
0-0-0-0-1-0-0-0-0-0;0.42295
0-0-0-0-0-1-0-0-0-0;0.41991
0-0-0-0-0-0-1-0-0-0;0.42075
0-0-0-0-0-0-0-1-0-0;0.42384
0-0-0-0-0-0-0-0-1-0;0.42205
0-0-0-0-0-0-0-0-0-1;0.42357
