;results
1-0-0-0-0-0-0-0-0-0;0.43791
0-1-0-0-0-0-0-0-0-0;0.43698
0-0-1-0-0-0-0-0-0-0;0.43550
0-0-0-1-0-0-0-0-0-0;0.43419
0-0-0-0-1-0-0-0-0-0;0.43748
0-0-0-0-0-1-0-0-0-0;0.43467
0-0-0-0-0-0-1-0-0-0;0.43399
0-0-0-0-0-0-0-1-0-0;0.43807
0-0-0-0-0-0-0-0-1-0;0.43678
0-0-0-0-0-0-0-0-0-1;0.43714
