;results
1-0-0-0-0-0-0-0-0-0;2518
0-1-0-0-0-0-0-0-0-0;2634
0-0-1-0-0-0-0-0-0-0;2589
0-0-0-1-0-0-0-0-0-0;2707
0-0-0-0-1-0-0-0-0-0;2732
0-0-0-0-0-1-0-0-0-0;2971
0-0-0-0-0-0-1-0-0-0;2679
0-0-0-0-0-0-0-1-0-0;3380
0-0-0-0-0-0-0-0-1-0;2701
0-0-0-0-0-0-0-0-0-1;2641
