;results
1-0-0-0-0-0-0-0-0-0;0.28519
0-1-0-0-0-0-0-0-0-0;0.14669
0-0-1-0-0-0-0-0-0-0;0.31667
0-0-0-1-0-0-0-0-0-0;nan
0-0-0-0-1-0-0-0-0-0;0.29063
0-0-0-0-0-1-0-0-0-0;0.23704
0-0-0-0-0-0-1-0-0-0;0.32500
0-0-0-0-0-0-0-1-0-0;0.26944
0-0-0-0-0-0-0-0-1-0;nan
0-0-0-0-0-0-0-0-0-1;0.13542
