;results
1-0-0-0-0-0-0-0-0-0;0.02646
0-1-0-0-0-0-0-0-0-0;0.03743
0-0-1-0-0-0-0-0-0-0;0.02632
0-0-0-1-0-0-0-0-0-0;0.02139
0-0-0-0-1-0-0-0-0-0;0.02551
0-0-0-0-0-1-0-0-0-0;0.01596
0-0-0-0-0-0-1-0-0-0;0.02591
0-0-0-0-0-0-0-1-0-0;0.02116
0-0-0-0-0-0-0-0-1-0;0.00510
0-0-0-0-0-0-0-0-0-1;0.03590
