;results
1-0-0-0-0-0-0-0-0-0;0.62401
0-1-0-0-0-0-0-0-0-0;0.62663
0-0-1-0-0-0-0-0-0-0;0.63911
0-0-0-1-0-0-0-0-0-0;0.62583
0-0-0-0-1-0-0-0-0-0;0.62237
0-0-0-0-0-1-0-0-0-0;0.58925
0-0-0-0-0-0-1-0-0-0;0.62654
0-0-0-0-0-0-0-1-0-0;0.56743
0-0-0-0-0-0-0-0-1-0;0.61422
0-0-0-0-0-0-0-0-0-1;0.63345
