;results
1-0-0-0-0-0-0-0-0-0;0.05643
0-1-0-0-0-0-0-0-0-0;0.05642
0-0-1-0-0-0-0-0-0-0;0.05336
0-0-0-1-0-0-0-0-0-0;0.05644
0-0-0-0-1-0-0-0-0-0;0.05364
0-0-0-0-0-1-0-0-0-0;0.06060
0-0-0-0-0-0-1-0-0-0;0.05572
0-0-0-0-0-0-0-1-0-0;0.06102
0-0-0-0-0-0-0-0-1-0;0.05766
0-0-0-0-0-0-0-0-0-1;0.05338
