;results
1-0-0-0-0-0-0-0-0-0;0.60736
0-1-0-0-0-0-0-0-0-0;0.60983
0-0-1-0-0-0-0-0-0-0;0.62443
0-0-0-1-0-0-0-0-0-0;0.61003
0-0-0-0-1-0-0-0-0-0;0.60699
0-0-0-0-0-1-0-0-0-0;0.57161
0-0-0-0-0-0-1-0-0-0;0.61131
0-0-0-0-0-0-0-1-0-0;0.54900
0-0-0-0-0-0-0-0-1-0;0.59693
0-0-0-0-0-0-0-0-0-1;0.61835
