;results
1-0-0-0-0-0-0-0-0-0;0.70141
0-1-0-0-0-0-0-0-0-0;0.70263
0-0-1-0-0-0-0-0-0-0;0.71667
0-0-0-1-0-0-0-0-0-0;0.70406
0-0-0-0-1-0-0-0-0-0;0.69648
0-0-0-0-0-1-0-0-0-0;0.66503
0-0-0-0-0-0-1-0-0-0;0.70558
0-0-0-0-0-0-0-1-0-0;0.63737
0-0-0-0-0-0-0-0-1-0;0.69092
0-0-0-0-0-0-0-0-0-1;0.70958
