;results
1-0-0-0-0-0-0-0-0-0;0.29268
0-1-0-0-0-0-0-0-0-0;0.30935
0-0-1-0-0-0-0-0-0-0;0.34307
0-0-0-1-0-0-0-0-0-0;0.31538
0-0-0-0-1-0-0-0-0-0;0.32963
0-0-0-0-0-1-0-0-0-0;0.24427
0-0-0-0-0-0-1-0-0-0;0.32384
0-0-0-0-0-0-0-1-0-0;0.26027
0-0-0-0-0-0-0-0-1-0;0.31833
0-0-0-0-0-0-0-0-0-1;0.34495
