;results
1-0-0-0-0-0-0-0-0-0;0.11032
0-1-0-0-0-0-0-0-0-0;0.09531
0-0-1-0-0-0-0-0-0-0;0.08195
0-0-0-1-0-0-0-0-0-0;0.08519
0-0-0-0-1-0-0-0-0-0;0.09224
0-0-0-0-0-1-0-0-0-0;0.10802
0-0-0-0-0-0-1-0-0-0;0.08650
0-0-0-0-0-0-0-1-0-0;0.09660
0-0-0-0-0-0-0-0-1-0;0.10308
0-0-0-0-0-0-0-0-0-1;0.08456
