;results
1-0-0-0-0-0-0-0-0-0;0.49907
0-1-0-0-0-0-0-0-0-0;0.52288
0-0-1-0-0-0-0-0-0-0;0.46944
0-0-0-1-0-0-0-0-0-0;nan
0-0-0-0-1-0-0-0-0-0;0.53125
0-0-0-0-0-1-0-0-0-0;0.59537
0-0-0-0-0-0-1-0-0-0;0.50417
0-0-0-0-0-0-0-1-0-0;0.51111
0-0-0-0-0-0-0-0-1-0;nan
0-0-0-0-0-0-0-0-0-1;0.56771
