;results
1-0-0-0-0-0-0-0-0-0;0.10393
0-1-0-0-0-0-0-0-0-0;0.09549
0-0-1-0-0-0-0-0-0-0;0.09723
0-0-0-1-0-0-0-0-0-0;0.11077
0-0-0-0-1-0-0-0-0-0;0.09557
0-0-0-0-0-1-0-0-0-0;0.11462
0-0-0-0-0-0-1-0-0-0;0.10325
0-0-0-0-0-0-0-1-0-0;0.09250
0-0-0-0-0-0-0-0-1-0;0.10430
0-0-0-0-0-0-0-0-0-1;0.10919
