;results
1-0-0-0-0-0-0-0-0-0;0.90104
0-1-0-0-0-0-0-0-0-0;0.90300
0-0-1-0-0-0-0-0-0-0;0.90296
0-0-0-1-0-0-0-0-0-0;0.89939
0-0-0-0-1-0-0-0-0-0;0.90422
0-0-0-0-0-1-0-0-0-0;0.89667
0-0-0-0-0-0-1-0-0-0;0.89964
0-0-0-0-0-0-0-1-0-0;0.90309
0-0-0-0-0-0-0-0-1-0;0.90156
0-0-0-0-0-0-0-0-0-1;0.90409
