network_order;results
mask_rcnn_X-101-64x4d-FPN;0.11018
cascade_mask_rcnn_X-101-64x4d-FPN;0.09524
hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;0.08187
cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;0.08639
detectors_htc_r101_20e_coco;0.08444
gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);0.08509
scnet_X-101-64x4d-FPN;0.09217
mask_rcnn_r50_fpn_carafe_1x_coco;0.10792
mask_rcnn_r101_fpn_gn-all_3x_coco;0.09649
mask_rcnn_r101_fpn_gn_ws-all_20_23_24e_coco;0.10288
