;results
1-0-0-0-0-0-0-0-0-0;0.18827
0-1-0-0-0-0-0-0-0-0;0.20206
0-0-1-0-0-0-0-0-0-0;0.20138
0-0-0-1-0-0-0-0-0-0;0.21076
0-0-0-0-1-0-0-0-0-0;0.21128
0-0-0-0-0-1-0-0-0-0;0.22695
0-0-0-0-0-0-1-0-0-0;0.20792
0-0-0-0-0-0-0-1-0-0;0.26603
0-0-0-0-0-0-0-0-1-0;0.20599
0-0-0-0-0-0-0-0-0-1;0.20587
