;results
1-0-0-0-0-0-0-0-0-0;0.89158
0-1-0-0-0-0-0-0-0-0;0.89285
0-0-1-0-0-0-0-0-0-0;0.89615
0-0-0-1-0-0-0-0-0-0;0.89100
0-0-0-0-1-0-0-0-0-0;0.89649
0-0-0-0-0-1-0-0-0-0;0.88510
0-0-0-0-0-0-1-0-0-0;0.89190
0-0-0-0-0-0-0-1-0-0;0.88774
0-0-0-0-0-0-0-0-1-0;0.89074
0-0-0-0-0-0-0-0-0-1;0.89671
