;results
1-0-0-0-0-0-0-0-0-0;0.20557
0-1-0-0-0-0-0-0-0-0;0.18705
0-0-1-0-0-0-0-0-0-0;0.16423
0-0-0-1-0-0-0-0-0-0;0.16538
0-0-0-0-1-0-0-0-0-0;0.15556
0-0-0-0-0-1-0-0-0-0;0.19466
0-0-0-0-0-0-1-0-0-0;0.17794
0-0-0-0-0-0-0-1-0-0;0.24658
0-0-0-0-0-0-0-0-1-0;0.23794
0-0-0-0-0-0-0-0-0-1;0.19512
