;results
1-0-0-0-0-0-0-0-0-0;8259
0-1-0-0-0-0-0-0-0-0;8143
0-0-1-0-0-0-0-0-0-0;8188
0-0-0-1-0-0-0-0-0-0;8070
0-0-0-0-1-0-0-0-0-0;8045
0-0-0-0-0-1-0-0-0-0;7806
0-0-0-0-0-0-1-0-0-0;8098
0-0-0-0-0-0-0-1-0-0;7397
0-0-0-0-0-0-0-0-1-0;8076
0-0-0-0-0-0-0-0-0-1;8137
