;results
1-0-0-0-0-0-0-0-0-0;84
0-1-0-0-0-0-0-0-0-0;86
0-0-1-0-0-0-0-0-0-0;94
0-0-0-1-0-0-0-0-0-0;82
0-0-0-0-1-0-0-0-0-0;89
0-0-0-0-0-1-0-0-0-0;64
0-0-0-0-0-0-1-0-0-0;91
0-0-0-0-0-0-0-1-0-0;76
0-0-0-0-0-0-0-0-1-0;99
0-0-0-0-0-0-0-0-0-1;99
