;results
1-0-0-0-0-0-0-0-0-0;0.04425
0-1-0-0-0-0-0-0-0-0;0.04338
0-0-1-0-0-0-0-0-0-0;0.04390
0-0-0-1-0-0-0-0-0-0;0.04551
0-0-0-0-1-0-0-0-0-0;0.04299
0-0-0-0-0-1-0-0-0-0;0.04627
0-0-0-0-0-0-1-0-0-0;0.04553
0-0-0-0-0-0-0-1-0-0;0.04329
0-0-0-0-0-0-0-0-1-0;0.04422
0-0-0-0-0-0-0-0-0-1;0.04321
