;results
1-0-0-0-0-0-0-0-0-0;0.09150
0-1-0-0-0-0-0-0-0-0;0.07984
0-0-1-0-0-0-0-0-0-0;0.08366
0-0-0-1-0-0-0-0-0-0;0.09034
0-0-0-0-1-0-0-0-0-0;0.07706
0-0-0-0-0-1-0-0-0-0;0.09798
0-0-0-0-0-0-1-0-0-0;0.08566
0-0-0-0-0-0-0-1-0-0;0.08391
0-0-0-0-0-0-0-0-1-0;0.08873
0-0-0-0-0-0-0-0-0-1;0.09401
