;results
1-0-0-0-0-0-0-0-0-0;1347
0-1-0-0-0-0-0-0-0-0;1145
0-0-1-0-0-0-0-0-0-0;974
0-0-0-1-0-0-0-0-0-0;1010
0-0-0-0-1-0-0-0-0-0;1105
0-0-0-0-0-1-0-0-0-0;1310
0-0-0-0-0-0-1-0-0-0;1038
0-0-0-0-0-0-0-1-0-0;1184
0-0-0-0-0-0-0-0-1-0;1274
0-0-0-0-0-0-0-0-0-1;1022
