;results
1-0-0-0-0-0-0-0-0-0;0.95767
0-1-0-0-0-0-0-0-0-0;0.95722
0-0-1-0-0-0-0-0-0-0;0.95263
0-0-0-1-0-0-0-0-0-0;0.97326
0-0-0-0-1-0-0-0-0-0;0.92347
0-0-0-0-0-1-0-0-0-0;0.97340
0-0-0-0-0-0-1-0-0-0;0.93782
0-0-0-0-0-0-0-1-0-0;0.96296
0-0-0-0-0-0-0-0-1-0;0.94388
0-0-0-0-0-0-0-0-0-1;0.91795
