;results
1-0-0-0-0-0-0-0-0-0;0.68121
0-1-0-0-0-0-0-0-0-0;0.68302
0-0-1-0-0-0-0-0-0-0;0.69679
0-0-0-1-0-0-0-0-0-0;0.68465
0-0-0-0-1-0-0-0-0-0;0.67707
0-0-0-0-0-1-0-0-0-0;0.64582
0-0-0-0-0-0-1-0-0-0;0.68540
0-0-0-0-0-0-0-1-0-0;0.61843
0-0-0-0-0-0-0-0-1-0;0.67015
0-0-0-0-0-0-0-0-0-1;0.68958
