;results
1-0-0-0-0-0-0-0-0-0;0.89181
0-1-0-0-0-0-0-0-0-0;0.89231
0-0-1-0-0-0-0-0-0-0;0.89843
0-0-0-1-0-0-0-0-0-0;0.89221
0-0-0-0-1-0-0-0-0-0;0.89814
0-0-0-0-0-1-0-0-0-0;0.88393
0-0-0-0-0-0-1-0-0-0;0.89356
0-0-0-0-0-0-0-1-0-0;0.88308
0-0-0-0-0-0-0-0-1-0;0.88990
0-0-0-0-0-0-0-0-0-1;0.89833
