;results
1-0-0-0-0-0-0-0-0-0;59
0-1-0-0-0-0-0-0-0-0;52
0-0-1-0-0-0-0-0-0-0;45
0-0-0-1-0-0-0-0-0-0;43
0-0-0-0-1-0-0-0-0-0;42
0-0-0-0-0-1-0-0-0-0;51
0-0-0-0-0-0-1-0-0-0;50
0-0-0-0-0-0-0-1-0-0;72
0-0-0-0-0-0-0-0-1-0;74
0-0-0-0-0-0-0-0-0-1;56
