;results
1-0-0-0-0-0-0-0-0-0;0.45675
0-1-0-0-0-0-0-0-0-0;0.45866
0-0-1-0-0-0-0-0-0-0;0.46258
0-0-0-1-0-0-0-0-0-0;0.45934
0-0-0-0-1-0-0-0-0-0;0.46121
0-0-0-0-0-1-0-0-0-0;0.45357
0-0-0-0-0-0-1-0-0-0;0.46015
0-0-0-0-0-0-0-1-0-0;0.45333
0-0-0-0-0-0-0-0-1-0;0.45686
0-0-0-0-0-0-0-0-0-1;0.46170
