;results
1-0-0-0-0-0-0-0-0-0;0.14630
0-1-0-0-0-0-0-0-0-0;0.23335
0-0-1-0-0-0-0-0-0-0;0.13889
0-0-0-1-0-0-0-0-0-0;nan
0-0-0-0-1-0-0-0-0-0;0.03125
0-0-0-0-0-1-0-0-0-0;0.13009
0-0-0-0-0-0-1-0-0-0;0.12083
0-0-0-0-0-0-0-1-0-0;0.14444
0-0-0-0-0-0-0-0-1-0;nan
0-0-0-0-0-0-0-0-0-1;0.17188
