;results
1-0-0-0-0-0-0-0-0-0;0.16619
0-1-0-0-0-0-0-0-0-0;0.13511
0-0-1-0-0-0-0-0-0-0;0.22167
0-0-0-1-0-0-0-0-0-0;0.13125
0-0-0-0-1-0-0-0-0-0;0.20175
0-0-0-0-0-1-0-0-0-0;0.17143
0-0-0-0-0-0-1-0-0-0;0.19730
0-0-0-0-0-0-0-1-0-0;0.17718
0-0-0-0-0-0-0-0-1-0;0.10000
0-0-0-0-0-0-0-0-0-1;0.17132
