;results
1-0-0-0-0-0-0-0-0-0;0.50370
0-1-0-0-0-0-0-0-0-0;0.49405
0-0-1-0-0-0-0-0-0-0;0.49417
0-0-0-1-0-0-0-0-0-0;0.48391
0-0-0-0-1-0-0-0-0-0;0.49365
0-0-0-0-0-1-0-0-0-0;0.48308
0-0-0-0-0-0-1-0-0-0;0.48951
0-0-0-0-0-0-0-1-0-0;0.49566
0-0-0-0-0-0-0-0-1-0;0.48774
0-0-0-0-0-0-0-0-0-1;0.49423
