network_order;results
mask_rcnn_X-101-64x4d-FPN;0.14630
cascade_mask_rcnn_X-101-64x4d-FPN;0.23335
hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;0.13889
cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;0.12083
detectors_htc_r101_20e_coco;0.17188
gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);nan
scnet_X-101-64x4d-FPN;0.03125
mask_rcnn_r50_fpn_carafe_1x_coco;0.13009
mask_rcnn_r101_fpn_gn-all_3x_coco;0.14444
mask_rcnn_r101_fpn_gn_ws-all_20_23_24e_coco;nan
